E(MeV),xs(mb)
24.266000000000002,0.0
25.0,0.7617210000000001
26.0,8.45068
27.0,35.64
28.0,96.0337
29.0,188.432
30.0,301.118
30.0,301.12
32.0,532.089
34.0,704.23
36.0,796.961
38.0,797.129
40.0,710.997
42.0,576.535
44.0,443.49800000000005
46.0,340.81800000000004
48.0,270.663
50.0,228.065
52.0,201.303
54.0,183.6
56.0,171.644
58.0,163.381
60.0,157.694
65.0,145.249
70.0,134.80700000000002
75.0,128.017
80.0,121.22299999999998
90.0,110.68
100.0,101.725
110.00000000000001,95.2603
120.0,89.6143
130.0,82.1266
140.0,74.8776
150.0,69.7329
160.0,63.5898
180.0,55.2158
200.0,48.0286
