E(MeV),xs(mb)
20.834000000000003,0.0
21.0,0.282894
22.0,22.4313
23.0,118.52199999999999
24.0,290.419
25.0,495.48699999999997
26.0,692.926
27.0,858.7300000000001
28.0,991.555
29.0,1090.6299999999999
30.0,1158.34
30.0,1158.4
32.0,1185.1100000000001
34.0,1046.9299999999998
36.0,828.48
38.0,625.508
40.0,470.17100000000005
42.0,368.246
44.0,306.731
46.0,269.181
48.0,243.503
50.0,228.003
52.0,215.557
54.0,205.429
56.0,196.59
58.0,189.50199999999998
60.0,183.68800000000002
65.0,169.768
70.0,158.891
75.0,148.865
80.0,142.589
90.0,130.307
100.0,120.455
110.00000000000001,112.923
120.0,106.104
130.0,99.5516
140.0,95.248
150.0,87.8046
160.0,81.2932
180.0,70.051
200.0,60.4012
