E(MeV),xs(mb)
19.1388,0.0
20.0,0.869853
21.0,9.28891
22.0,26.020699999999998
23.0,46.212799999999994
24.0,66.9477
25.0,86.47710000000001
26.0,103.302
27.0,116.231
28.0,125.628
29.0,130.993
30.0,134.30200000000002
30.0,134.305
32.0,134.289
34.0,128.333
36.0,122.431
38.0,116.10499999999999
40.0,109.355
42.0,102.978
44.0,97.008
46.0,92.10409999999999
48.0,87.37880000000001
50.0,83.3218
52.0,78.7419
54.0,73.6274
56.0,69.5891
58.0,65.9651
60.0,62.7658
65.0,56.906400000000005
70.0,51.8326
75.0,47.49119999999999
80.0,42.9187
90.0,36.676899999999996
100.0,31.2496
110.00000000000001,27.325200000000002
120.0,23.932000000000002
130.0,21.048399999999997
140.0,18.7092
150.0,16.6616
160.0,14.902
180.0,12.047799999999999
200.0,10.0173
