E(MeV),xs(mb)
19.5168,0.0
20.0,1.42137
21.0,16.825300000000002
22.0,54.0446
23.0,113.88100000000001
24.0,183.17399999999998
25.0,241.188
26.0,289.222
27.0,324.606
28.0,349.902
29.0,367.952
30.0,379.417
30.0,379.42900000000003
32.0,381.355
34.0,364.968
36.0,327.566
38.0,281.307
40.0,236.36599999999999
42.0,197.736
44.0,169.46099999999998
46.0,150.02
48.0,132.088
50.0,120.502
52.0,109.397
54.0,103.565
56.0,96.8567
58.0,92.674
60.0,87.5481
65.0,78.8319
70.0,72.8616
75.0,68.39450000000001
80.0,64.90350000000001
90.0,55.3668
100.0,46.090799999999994
110.00000000000001,39.6682
120.0,34.8665
130.0,30.0117
140.0,26.791999999999998
150.0,23.446099999999998
160.0,20.7164
180.0,16.5716
200.0,13.848
