E(MeV),xs(mb)
17.9388,0.0
18.0,0.017515700000000002
19.0,7.74998
20.0,34.8356
21.0,81.9612
22.0,153.749
23.0,234.64999999999998
24.0,303.413
25.0,356.67
26.0,391.561
27.0,415.823
28.0,429.30400000000003
29.0,434.828
30.0,433.314
30.0,433.35100000000006
32.0,409.93199999999996
34.0,369.33
36.0,328.916
38.0,296.81
40.0,273.115
42.0,253.93099999999998
44.0,239.744
46.0,227.78900000000002
48.0,217.462
50.0,207.93499999999997
52.0,199.04500000000002
54.0,189.439
56.0,180.369
58.0,172.001
60.0,165.406
65.0,150.619
70.0,139.343
75.0,128.245
80.0,119.52799999999999
90.0,103.953
100.0,90.99940000000001
110.00000000000001,80.87199999999999
120.0,72.5486
130.0,65.2277
140.0,58.6066
150.0,52.8389
160.0,48.08970000000001
180.0,39.5832
200.0,33.385600000000004
