E(MeV),xs(mb)
11.3137,0.0
11.399999999999999,0.029800300000000002
11.5,0.04958510000000001
11.6,0.118807
11.799999999999999,0.296035
12.0,0.639283
12.4,1.56317
12.5,1.8408
13.0,3.27145
13.200000000000001,3.85596
13.5,4.75449
14.0,6.26318
14.5,7.42978
15.0,8.20454
15.5,8.76338
16.0,9.11182
16.5,9.34304
17.0,9.54797
17.5,9.72876
18.0,9.88754
18.5,10.0265
19.0,10.1477
19.5,10.2689
20.0,10.2148
20.0,17.0672
23.0,15.3874
27.0,12.7416
30.0,9.89311
35.0,6.61001
40.0,4.76356
50.0,3.9852
60.0,3.26798
70.0,2.72698
80.0,2.17611
90.0,1.98398
100.0,1.95376
110.00000000000001,1.88324
120.0,1.93873
130.0,2.04976
140.0,1.64815
150.0,1.75479
