E(MeV),xs(mb)
29.4669,0.0
30.0,1.2149600000000001e-5
30.0,1.2149600000000001e-5
32.0,0.00306406
34.0,0.024804
36.0,0.0701429
38.0,0.128904
40.0,0.183145
42.0,0.231939
44.0,0.265731
46.0,0.289152
48.0,0.302898
50.0,0.309597
52.0,0.310274
54.0,0.304832
56.0,0.297777
58.0,0.291273
60.0,0.285745
65.0,0.270594
70.0,0.254072
75.0,0.23855400000000004
80.0,0.225235
90.0,0.205824
100.0,0.183894
110.00000000000001,0.16573300000000002
120.0,0.14883200000000002
130.0,0.13322
140.0,0.120048
150.0,0.112773
160.0,0.106087
180.0,0.0948644
200.0,0.0858326
