E(MeV),xs(mb)
29.0776,0.0
30.0,1.34915
30.0,1.34915
32.0,19.834799999999998
34.0,61.479
36.0,108.38799999999999
38.0,147.23999999999998
40.0,175.601
42.0,189.953
44.0,194.736
46.0,189.719
48.0,180.212
50.0,170.181
52.0,160.245
54.0,151.552
56.0,141.989
58.0,135.406
60.0,127.94399999999999
65.0,113.38
70.0,101.03800000000001
75.0,91.19680000000001
80.0,82.81219999999999
90.0,70.8454
100.0,61.049499999999995
110.00000000000001,53.664100000000005
120.0,47.1279
130.0,42.0036
140.0,37.0179
150.0,33.2727
160.0,29.359700000000004
180.0,25.8656
200.0,24.1268
