E(MeV),xs(mb)
7.42523,0.0
7.6,3.4927e-8
7.8,0.00359944
8.0,277.26099999999997
8.5,521.41
9.0,944.2299999999999
9.5,1105.44
10.0,1283.76
10.5,1406.08
11.0,1533.55
11.5,1624.64
12.0,1716.9099999999999
12.5,1775.67
13.0,1834.01
13.5,1842.6899999999998
14.0,1851.09
14.5,1751.35
15.0,1614.69
16.0,1287.8799999999999
17.0,964.1080000000001
18.0,692.258
19.0,505.93899999999996
20.0,367.964
21.0,416.892
22.0,376.737
23.0,348.462
24.0,328.56
25.0,311.429
26.0,299.18399999999997
27.0,287.372
28.0,277.93
29.0,268.436
30.0,260.092
30.0,261.18899999999996
32.0,245.52999999999997
34.0,232.424
36.0,220.644
38.0,208.543
40.0,195.427
42.0,185.216
44.0,173.933
46.0,165.19299999999998
48.0,158.595
50.0,150.34300000000002
52.0,146.371
54.0,146.056
56.0,141.628
58.0,136.265
60.0,131.899
65.0,120.381
70.0,112.766
75.0,104.761
80.0,99.2842
90.0,88.3723
100.0,79.672
110.00000000000001,73.0116
120.0,66.7222
130.0,62.0242
140.0,57.6248
150.0,52.336600000000004
160.0,48.019800000000004
180.0,40.3634
200.0,34.9391
