E(MeV),xs(mb)
10.8396,0.0
11.0,4.90873
11.5,54.6586
12.0,137.791
12.5,220.784
13.0,301.07599999999996
13.5,362.782
14.0,412.34900000000005
14.5,450.683
15.0,476.635
16.0,523.846
17.0,543.745
18.0,549.86
19.0,542.0
20.0,522.417
21.0,491.322
22.0,455.11999999999995
23.0,409.053
24.0,371.192
25.0,338.556
26.0,307.397
27.0,278.65500000000003
28.0,255.231
29.0,233.155
30.0,216.108
30.0,216.14
32.0,186.774
34.0,165.347
36.0,148.675
38.0,134.88500000000002
40.0,122.723
42.0,112.235
44.0,102.981
46.0,96.0249
48.0,89.4148
50.0,83.2714
52.0,77.3403
54.0,72.9285
56.0,70.0612
58.0,66.3015
60.0,62.0465
65.0,52.7907
70.0,45.822900000000004
75.0,40.5321
80.0,35.2643
90.0,27.454900000000002
100.0,21.843400000000003
110.00000000000001,18.2283
120.0,15.304199999999998
130.0,13.0151
140.0,11.269
150.0,9.7617
160.0,8.5935
180.0,7.09734
200.0,6.0326
