E(MeV),xs(mb)
22.854899999999997,0.0
23.0,0.000373964
24.0,0.056085300000000005
25.0,0.27810700000000005
26.0,0.6194790000000001
27.0,0.960442
28.0,1.25392
29.0,1.5233
30.0,1.77059
30.0,1.77061
32.0,2.24303
34.0,2.7666
36.0,3.18539
38.0,3.36456
40.0,3.43843
42.0,3.47588
44.0,3.50824
46.0,3.52031
48.0,3.54544
50.0,3.58516
52.0,3.58636
54.0,3.60535
56.0,3.60065
58.0,3.60654
60.0,3.49034
65.0,3.31132
70.0,3.15391
75.0,2.97691
80.0,2.78595
90.0,2.44231
100.0,2.12019
110.00000000000001,1.87261
120.0,1.64755
130.0,1.45684
140.0,1.29093
150.0,1.18899
160.0,1.14076
180.0,1.02676
200.0,0.949476
