E(MeV),xs(mb)
9.0,0.0
9.5,3.3955e-14
10.0,3.4184999999999996e-11
10.5,2.6757e-8
11.0,1.4042400000000001e-5
11.5,0.00231012
12.0,0.198331
12.5,6.01752
13.0,30.7841
13.5,81.0528
14.0,153.74
14.5,231.387
15.0,305.789
16.0,426.29900000000004
17.0,479.45799999999997
18.0,459.40700000000004
19.0,405.891
20.0,345.247
21.0,301.80699999999996
22.0,269.706
23.0,247.653
24.0,230.135
25.0,216.08299999999997
26.0,206.65300000000002
27.0,196.536
28.0,188.696
29.0,180.996
30.0,174.31
32.0,155.769
34.0,145.621
36.0,137.141
38.0,129.226
40.0,123.115
42.0,116.968
44.0,111.891
46.0,106.128
48.0,101.85900000000001
50.0,98.73710000000001
52.0,93.6304
54.0,91.8836
56.0,89.5979
58.0,87.362
60.0,86.15259999999999
65.0,83.4255
70.0,78.4444
75.0,75.7003
80.0,71.3978
90.0,64.1965
100.0,59.408500000000004
110.00000000000001,54.914100000000005
120.0,50.3514
130.0,48.1342
140.0,45.3019
150.0,41.1484
160.0,40.076299999999996
180.0,33.788
200.0,29.4158
