E(MeV),xs(mb)
21.0624,0.0
22.0,0.0079643
23.0,0.089009
24.0,0.347106
25.0,1.03606
26.0,1.79856
27.0,2.62193
28.0,3.50514
29.0,4.37431
30.0,5.13551
30.0,5.13552
32.0,6.47538
34.0,7.68426
36.0,8.19119
38.0,8.2851
40.0,8.37063
42.0,8.40712
44.0,8.17155
46.0,7.8429
48.0,7.57741
50.0,7.29135
52.0,6.95362
54.0,6.66958
56.0,6.31657
58.0,6.00426
60.0,5.75508
65.0,5.18835
70.0,4.7187
75.0,4.29397
80.0,3.9327
90.0,3.35227
100.0,2.84619
110.00000000000001,2.48912
120.0,2.18406
130.0,1.92951
140.0,1.70037
150.0,1.51795
160.0,1.36323
180.0,1.11613
200.0,0.935422
