E(MeV),xs(mb)
12.7616,0.0
13.0,0.9029980000000001
13.5,18.5957
14.0,83.5043
14.5,203.10899999999998
15.0,358.834
16.0,689.98
17.0,1013.5000000000001
18.0,1276.36
19.0,1467.56
20.0,1587.52
21.0,1664.98
22.0,1667.52
23.0,1563.5900000000001
24.0,1373.3999999999999
25.0,1152.8700000000001
26.0,941.258
27.0,763.396
28.0,623.4250000000001
29.0,520.392
30.0,446.277
30.0,449.788
32.0,359.996
34.0,314.596
36.0,285.84000000000003
38.0,264.88800000000003
40.0,247.609
42.0,233.773
44.0,222.854
46.0,212.28500000000003
48.0,202.784
50.0,194.08
52.0,185.09
54.0,176.78300000000002
56.0,171.008
58.0,164.947
60.0,160.063
65.0,151.702
70.0,143.30700000000002
75.0,136.215
80.0,129.786
90.0,118.448
100.0,109.165
110.00000000000001,101.616
120.0,95.1079
130.0,89.58420000000001
140.0,84.40480000000001
150.0,80.0558
160.0,75.5766
180.0,66.9247
200.0,57.795500000000004
