E(MeV),xs(mb)
12.7672,0.0
13.0,0.36165
14.0,11.8806
15.0,28.069799999999997
16.0,44.6148
17.0,60.278999999999996
18.0,73.3141
19.0,83.2615
20.0,91.3471
21.0,96.4069
22.0,98.9579
23.0,99.8167
24.0,100.532
25.0,99.8913
26.0,98.5532
27.0,94.3249
28.0,92.3151
29.0,88.7575
30.0,86.14229999999999
30.0,86.1543
32.0,80.21039999999999
34.0,75.1291
36.0,70.3526
38.0,66.0573
40.0,62.1377
42.0,58.6273
44.0,53.010999999999996
46.0,49.8611
48.0,47.0352
50.0,44.524800000000006
52.0,41.4141
54.0,38.7358
56.0,36.445
58.0,34.5571
60.0,32.6123
65.0,29.3595
70.0,26.345
75.0,23.0972
80.0,20.6758
90.0,16.6174
100.0,13.5472
110.00000000000001,11.3927
120.0,9.66399
130.0,8.70776
140.0,7.96293
150.0,7.3522
160.0,6.84117
180.0,5.97529
200.0,5.37876
