E(MeV),xs(mb)
5.57321,0.0
5.6,2.90369
5.8,153.39100000000002
6.0,324.589
6.2,601.032
6.4,851.775
6.6,1095.0
6.8,1341.41
7.0,1527.1399999999999
7.2,1739.96
7.4,1897.8600000000001
7.6,2028.6100000000001
7.8,2148.61
8.0,2229.73
8.5,2365.23
9.0,2421.05
9.5,2440.0400000000004
10.0,2447.21
10.5,2447.71
11.0,2443.29
11.5,2368.9900000000002
12.0,2220.0299999999997
12.5,2005.21
13.0,1757.42
13.5,1507.52
14.0,1277.72
14.5,1082.8500000000001
15.0,919.309
16.0,685.453
17.0,546.3829999999999
18.0,462.51800000000003
19.0,410.226
20.0,377.97900000000004
21.0,353.46299999999997
22.0,334.688
23.0,318.947
24.0,306.373
25.0,296.437
26.0,286.673
27.0,277.64799999999997
28.0,270.798
29.0,263.48699999999997
30.0,255.726
30.0,133.556
32.0,126.98400000000001
34.0,109.443
36.0,95.3555
38.0,85.68289999999999
40.0,78.184
42.0,73.709
44.0,71.0598
46.0,69.6707
48.0,69.70259999999999
50.0,70.97710000000001
52.0,73.34259999999999
54.0,74.513
56.0,75.3808
58.0,76.1345
60.0,76.3772
65.0,76.8753
70.0,75.1472
75.0,73.1006
80.0,69.8783
90.0,62.8555
100.0,57.3731
110.00000000000001,53.4312
120.0,50.6858
130.0,47.5204
140.0,44.2967
150.0,41.144800000000004
160.0,38.3857
180.0,32.844899999999996
200.0,27.9374
