E(MeV),xs(mb)
21.661199999999997,0.0
22.0,0.0172135
23.0,1.11523
24.0,10.1649
25.0,46.4654
26.0,141.148
27.0,309.08799999999997
28.0,535.951
29.0,786.6139999999999
30.0,1022.54
30.0,1032.86
32.0,1386.32
34.0,1540.29
36.0,1498.1100000000001
38.0,1277.83
40.0,971.9789999999999
42.0,684.6610000000001
44.0,486.40299999999996
46.0,361.531
48.0,292.801
50.0,248.198
52.0,216.76999999999998
54.0,194.127
56.0,177.025
58.0,165.367
60.0,157.12800000000001
65.0,141.947
70.0,132.538
75.0,124.87299999999999
80.0,118.78599999999999
90.0,109.53200000000001
100.0,102.45
110.00000000000001,96.5011
120.0,90.61030000000001
130.0,85.8609
140.0,81.8517
150.0,77.5834
160.0,74.4272
180.0,67.871
200.0,62.333999999999996
