E(MeV),xs(mb)
24.966499999999996,0.0
25.0,0.00265701
26.0,0.351149
27.0,3.39162
28.0,12.9396
29.0,32.7332
30.0,62.399899999999995
30.0,62.401799999999994
32.0,137.496
34.0,211.322
36.0,265.553
38.0,297.358
40.0,306.553
42.0,294.05
44.0,271.009
46.0,245.13400000000001
48.0,220.376
50.0,200.10500000000002
52.0,185.236
54.0,172.227
56.0,162.246
58.0,153.68900000000002
60.0,147.41
65.0,136.35600000000002
70.0,124.167
75.0,117.158
80.0,109.692
90.0,98.6273
100.0,85.7926
110.00000000000001,76.1059
120.0,68.3827
130.0,61.171499999999995
140.0,55.630300000000005
150.0,49.8676
160.0,46.003800000000005
180.0,37.8026
200.0,32.3129
