E(MeV),xs(mb)
6.30142,0.0
6.4,34.4444
6.6,99.595
6.8,185.52200000000002
7.0,313.077
7.2,450.895
7.4,574.547
7.6,736.409
7.8,870.5870000000001
8.0,998.644
8.5,1266.38
9.0,1444.49
9.5,1561.22
10.0,1633.54
10.5,1680.8600000000001
11.0,1712.2
11.5,1736.3200000000002
12.0,1753.97
12.5,1767.23
13.0,1779.96
13.5,1789.1200000000001
14.0,1797.53
14.5,1798.88
15.0,1766.7
16.0,1531.6000000000001
17.0,1179.45
18.0,870.0379999999999
19.0,668.104
20.0,548.082
21.0,470.089
22.0,428.81600000000003
23.0,398.322
24.0,377.632
25.0,362.889
26.0,350.708
27.0,338.038
28.0,326.327
29.0,317.232
30.0,305.451
30.0,307.03499999999997
32.0,288.956
34.0,275.005
36.0,261.258
38.0,248.144
40.0,233.26500000000001
42.0,221.56099999999998
44.0,207.20100000000002
46.0,198.303
48.0,188.57999999999998
50.0,180.718
52.0,174.468
54.0,170.347
56.0,166.751
58.0,160.09199999999998
60.0,153.401
65.0,142.598
70.0,131.83
75.0,123.13099999999999
80.0,115.85399999999998
90.0,103.11600000000001
100.0,93.543
110.00000000000001,85.4365
120.0,75.3843
130.0,68.2514
140.0,60.8064
150.0,55.2203
160.0,50.4278
180.0,41.589299999999994
200.0,35.641799999999996
