E(MeV),xs(mb)
15.4984,0.0
16.0,1.73943
17.0,35.7355
18.0,186.84099999999998
19.0,502.337
20.0,892.7250000000001
21.0,1230.18
22.0,1472.0800000000002
23.0,1630.1000000000001
24.0,1717.17
25.0,1758.88
26.0,1763.0900000000001
27.0,1708.95
28.0,1578.59
29.0,1379.69
30.0,1147.0
30.0,1148.28
32.0,742.805
34.0,498.56800000000004
36.0,380.37800000000004
38.0,326.47400000000005
40.0,298.561
42.0,281.93
44.0,267.366
46.0,254.95199999999997
48.0,243.48700000000002
50.0,233.191
52.0,223.524
54.0,215.034
56.0,207.50799999999998
58.0,201.351
60.0,196.939
65.0,185.589
70.0,174.353
75.0,166.507
80.0,159.071
90.0,146.872
100.0,136.606
110.00000000000001,127.93699999999998
120.0,119.56199999999998
130.0,113.285
140.0,106.595
150.0,99.6638
160.0,91.42020000000001
180.0,77.80630000000001
200.0,66.95859999999999
