E(MeV),xs(mb)
27.2896,0.0
28.0,0.349216
29.0,8.21024
30.0,40.122600000000006
30.0,40.1228
32.0,210.72299999999998
34.0,443.78599999999994
36.0,629.553
38.0,725.9960000000001
40.0,723.481
42.0,636.779
44.0,511.26199999999994
46.0,394.796
48.0,307.909
50.0,250.24
52.0,213.998
54.0,189.056
56.0,172.19899999999998
58.0,161.711
60.0,151.994
65.0,135.017
70.0,122.777
75.0,113.578
80.0,107.06
90.0,95.1182
100.0,86.47640000000001
110.00000000000001,80.2762
120.0,75.0543
130.0,69.1231
140.0,63.1151
150.0,57.678399999999996
160.0,53.0621
180.0,45.2341
200.0,38.4656
