E(MeV),xs(mb)
8.95573,0.0
9.0,1.01266
9.5,76.456
10.0,290.853
10.5,566.0070000000001
11.0,846.942
11.5,1103.3500000000001
12.0,1316.97
12.5,1486.1200000000001
13.0,1616.8400000000001
13.5,1716.17
14.0,1791.77
14.5,1849.77
15.0,1894.97
16.0,1957.11
17.0,1974.5600000000002
18.0,1911.12
19.0,1767.83
20.0,1536.1100000000001
21.0,1271.3799999999999
22.0,1024.5500000000002
23.0,821.822
24.0,669.206
25.0,558.904
26.0,482.307
27.0,429.81
28.0,393.639
29.0,368.527
30.0,349.628
30.0,353.597
32.0,327.64099999999996
34.0,312.138
36.0,295.40799999999996
38.0,279.304
40.0,264.573
42.0,251.43
44.0,240.84500000000003
46.0,229.95399999999998
48.0,219.577
50.0,210.28699999999998
52.0,203.907
54.0,198.858
56.0,192.322
58.0,186.466
60.0,181.34699999999998
65.0,170.878
70.0,161.588
75.0,153.39499999999998
80.0,146.332
90.0,134.026
100.0,123.804
110.00000000000001,114.943
120.0,107.063
130.0,100.065
140.0,92.4989
150.0,84.10170000000001
160.0,76.822
180.0,64.79599999999999
200.0,55.4251
