E(MeV),xs(mb)
7.38356,0.0
7.4,0.0010362400000000001
7.6,0.223286
7.8,1.07851
8.0,2.21177
8.5,4.04152
9.0,4.37326
9.5,3.72239
10.0,2.69795
10.5,1.798
11.0,1.24669
11.5,1.06464
12.0,1.01559
12.5,0.976553
13.0,0.8890560000000001
13.5,0.767182
14.0,0.638349
14.5,0.524223
15.0,0.429638
16.0,0.311153
17.0,0.243104
18.0,0.20500400000000002
19.0,0.18211900000000003
20.0,0.166671
21.0,0.1554
22.0,0.146631
23.0,0.14021
24.0,0.134525
25.0,0.131634
26.0,0.129317
27.0,0.12701
28.0,0.12462800000000002
29.0,0.122008
30.0,0.11933400000000001
30.0,0.0052191799999999995
32.0,0.00398487
34.0,0.00409779
36.0,0.00414767
38.0,0.00416848
40.0,0.0042242600000000005
42.0,0.00427309
44.0,0.00438498
46.0,0.00456276
48.0,0.0049285100000000005
50.0,0.005408120000000001
52.0,0.00608123
54.0,0.0069108500000000005
56.0,0.00779245
58.0,0.00882422
60.0,0.00971746
65.0,0.0119269
70.0,0.0141072
75.0,0.0158618
80.0,0.0175139
90.0,0.0197942
100.0,0.021979099999999998
110.00000000000001,0.023271899999999998
120.0,0.0234368
130.0,0.021117
140.0,0.019905
150.0,0.0188799
160.0,0.0172872
180.0,0.0141218
200.0,0.0127916
