E(MeV),xs(mb)
17.8588,0.0
18.0,0.0481558
19.0,10.7623
20.0,70.27860000000001
21.0,215.37099999999998
22.0,438.466
23.0,693.833
24.0,932.217
25.0,1129.42
26.0,1269.27
27.0,1348.75
28.0,1365.9699999999998
29.0,1330.3899999999999
30.0,1254.74
30.0,1233.93
32.0,1022.02
34.0,811.546
36.0,641.5989999999999
38.0,514.7339999999999
40.0,421.455
42.0,352.74399999999997
44.0,302.387
46.0,266.055
48.0,238.30499999999998
50.0,216.974
52.0,199.191
54.0,186.416
56.0,177.37
58.0,169.489
60.0,162.947
65.0,148.885
70.0,139.518
75.0,131.064
80.0,125.971
90.0,115.775
100.0,106.72999999999999
110.00000000000001,99.0692
120.0,92.2027
130.0,86.44999999999999
140.0,81.4808
150.0,77.4563
160.0,73.81190000000001
180.0,66.27799999999999
200.0,57.407399999999996
