E(MeV),xs(mb)
10.0373,0.0
10.5,62.4453
11.0,219.305
11.5,430.328
12.0,632.791
12.5,800.3009999999999
13.0,937.9799999999999
13.5,1044.9299999999998
14.0,1119.6699999999998
14.5,1175.3700000000001
15.0,1214.0
16.0,1256.12
17.0,1279.15
18.0,1284.3500000000001
19.0,1289.67
20.0,1268.12
21.0,1199.92
22.0,1085.65
23.0,943.531
24.0,814.2810000000001
25.0,701.943
26.0,611.592
27.0,542.5550000000001
28.0,490.421
29.0,449.27599999999995
30.0,418.722
30.0,419.51599999999996
32.0,371.665
34.0,340.665
36.0,315.266
38.0,293.945
40.0,274.787
42.0,255.877
44.0,244.462
46.0,226.87800000000001
48.0,215.205
50.0,200.37099999999998
52.0,190.46099999999998
54.0,180.536
56.0,176.243
58.0,169.436
60.0,163.963
65.0,145.708
70.0,133.454
75.0,121.519
80.0,112.164
90.0,97.14359999999999
100.0,83.54799999999999
110.00000000000001,72.7128
120.0,63.535700000000006
130.0,56.8485
140.0,50.4618
150.0,45.0343
160.0,41.023300000000006
180.0,33.5335
200.0,28.5674
