E(MeV),xs(mb)
7.71255,0.0
7.8,4.30678
8.0,40.258900000000004
8.5,358.256
9.0,830.664
9.5,1258.6
10.0,1576.94
10.5,1796.88
11.0,1941.2
11.5,2034.13
12.0,2093.6400000000003
12.5,2132.48
13.0,2158.67
13.5,2177.1
14.0,2190.0
14.5,2194.71
15.0,2157.9199999999996
16.0,1836.8500000000001
17.0,1318.0
18.0,860.0889999999999
19.0,555.267
20.0,382.94899999999996
21.0,284.999
22.0,232.16100000000003
23.0,203.324
24.0,185.879
25.0,174.494
26.0,165.582
27.0,158.82
28.0,152.7
29.0,147.87
30.0,143.40900000000002
30.0,144.167
32.0,138.384
34.0,135.291
36.0,128.96
38.0,122.098
40.0,116.42099999999999
42.0,110.493
44.0,105.975
46.0,101.047
48.0,96.9146
50.0,93.6448
52.0,93.93969999999999
54.0,95.6301
56.0,93.4422
58.0,90.36670000000001
60.0,87.6254
65.0,81.7181
70.0,76.9374
75.0,72.34530000000001
80.0,68.5027
90.0,61.887
100.0,56.462199999999996
110.00000000000001,51.565200000000004
120.0,47.2093
130.0,43.874199999999995
140.0,40.6492
150.0,37.9225
160.0,35.636199999999995
180.0,31.534599999999998
200.0,28.470599999999997
