E(MeV),xs(mb)
28.735599999999998,0.0
29.0,0.278231
30.0,9.05028
30.0,9.05052
32.0,60.2911
34.0,139.373
36.0,206.80800000000002
38.0,245.952
40.0,253.893
42.0,234.568
44.0,204.056
46.0,172.105
48.0,146.04
50.0,126.708
52.0,115.035
54.0,105.37700000000001
56.0,96.5515
58.0,91.4035
60.0,85.43710000000002
65.0,77.70400000000001
70.0,73.3675
75.0,68.9896
80.0,64.5373
90.0,55.8897
100.0,49.347899999999996
110.00000000000001,44.189499999999995
120.0,39.257
130.0,34.6049
140.0,31.9333
150.0,29.0438
160.0,26.6419
180.0,21.9697
200.0,18.506800000000002
