E(MeV),xs(mb)
7.54804,0.0
7.6,3.95223
7.8,17.936
8.0,45.9499
8.5,157.792
9.0,320.594
9.5,495.128
10.0,682.081
10.5,849.8929999999999
11.0,989.04
11.5,1093.4299999999998
12.0,1171.23
12.5,1226.55
13.0,1264.99
13.5,1291.4
14.0,1308.38
14.5,1319.78
15.0,1325.76
16.0,1329.21
17.0,1324.53
18.0,1311.58
19.0,1268.4599999999998
20.0,1169.77
21.0,1042.88
22.0,910.718
23.0,797.4680000000001
24.0,708.622
25.0,641.2049999999999
26.0,590.54
27.0,549.455
28.0,516.5070000000001
29.0,490.052
30.0,466.884
30.0,468.18
32.0,433.806
34.0,404.61799999999994
36.0,378.931
38.0,357.37800000000004
40.0,336.437
42.0,316.656
44.0,297.058
46.0,281.20799999999997
48.0,263.716
50.0,249.713
52.0,236.179
54.0,228.415
56.0,220.492
58.0,214.012
60.0,204.27499999999998
65.0,182.331
70.0,162.563
75.0,146.213
80.0,133.191
90.0,112.41000000000001
100.0,95.49810000000001
110.00000000000001,82.93570000000001
120.0,73.3989
130.0,64.5212
140.0,57.675799999999995
150.0,51.3343
160.0,45.969899999999996
180.0,37.8023
200.0,31.4994
