E(MeV),xs(mb)
38.0,0.00011848900000000001
40.0,0.00204196
42.0,0.0105886
44.0,0.0314373
46.0,0.06783280000000001
48.0,0.11860500000000002
50.0,0.177932
52.0,0.23691800000000002
54.0,0.294184
56.0,0.33415900000000004
58.0,0.37222500000000003
60.0,0.389375
65.0,0.417336
70.0,0.424383
75.0,0.41916700000000007
80.0,0.406084
90.0,0.37711500000000003
100.0,0.34531200000000006
110.00000000000001,0.322016
120.0,0.29695
130.0,0.270834
140.0,0.24922200000000003
150.0,0.229263
160.0,0.210731
180.0,0.191505
200.0,0.17863600000000002
