E(MeV),xs(mb)
16.4045,0.0
17.0,7.30017
18.0,59.6377
19.0,176.383
20.0,340.631
21.0,521.2729999999999
22.0,688.303
23.0,827.0749999999999
24.0,929.04
25.0,997.842
26.0,1042.21
27.0,1064.3400000000001
28.0,1064.0400000000002
29.0,1032.59
30.0,970.19
30.0,970.515
32.0,786.792
34.0,593.145
36.0,444.10100000000006
38.0,349.004
40.0,292.178
42.0,258.29
44.0,239.346
46.0,222.303
48.0,208.62699999999998
50.0,197.155
52.0,187.063
54.0,178.076
56.0,170.255
58.0,163.585
60.0,158.534
65.0,147.181
70.0,137.869
75.0,127.935
80.0,120.91000000000001
90.0,108.938
100.0,99.33080000000001
110.00000000000001,91.70859999999999
120.0,83.0265
130.0,74.5655
140.0,67.6183
150.0,61.59309999999999
160.0,55.67
180.0,46.778000000000006
200.0,39.4667
