E(MeV),xs(mb)
21.4982,0.0
22.0,0.101697
23.0,1.29102
24.0,4.7265
25.0,9.75981
26.0,15.4383
27.0,20.2862
28.0,23.8478
29.0,27.686799999999998
30.0,31.1285
30.0,31.128700000000002
32.0,35.426899999999996
34.0,40.470699999999994
36.0,42.881099999999996
38.0,43.3212
40.0,41.7021
42.0,40.164
44.0,38.4986
46.0,36.9659
48.0,35.0528
50.0,33.4438
52.0,31.6146
54.0,30.2584
56.0,29.0082
58.0,27.843
60.0,26.722700000000003
65.0,24.3642
70.0,22.823600000000003
75.0,21.351399999999998
80.0,20.3506
90.0,17.9557
100.0,15.8204
110.00000000000001,14.010100000000001
120.0,12.625599999999999
130.0,11.3936
140.0,10.195799999999998
150.0,9.20165
160.0,8.33578
180.0,7.21421
200.0,6.52131
