E(MeV),xs(mb)
25.1975,0.0
26.0,0.0326619
27.0,0.6767120000000001
28.0,3.69307
29.0,11.8515
30.0,26.9271
30.0,26.927500000000002
32.0,80.1744
34.0,149.912
36.0,214.21800000000002
38.0,262.65299999999996
40.0,290.523
42.0,301.62399999999997
44.0,295.565
46.0,275.552
48.0,251.301
50.0,226.946
52.0,204.89799999999997
54.0,187.481
56.0,172.546
58.0,159.584
60.0,150.43800000000002
65.0,133.887
70.0,122.55100000000002
75.0,114.032
80.0,106.803
90.0,93.3578
100.0,81.3031
110.00000000000001,72.3462
120.0,64.8064
130.0,58.256
140.0,53.166700000000006
150.0,47.814800000000005
160.0,43.994099999999996
180.0,36.6423
200.0,31.2603
