E(MeV),xs(mb)
9.4902,0.0
9.5,0.097785
10.0,131.75900000000001
10.5,334.42400000000004
11.0,495.772
11.5,615.7320000000001
12.0,704.368
12.5,774.7950000000001
13.0,824.764
13.5,863.3570000000001
14.0,891.163
14.5,910.7989999999999
15.0,920.0250000000001
16.0,931.039
17.0,928.8140000000001
18.0,890.3489999999999
19.0,818.4110000000001
20.0,727.1379999999999
21.0,636.851
22.0,552.865
23.0,479.67
24.0,417.809
25.0,367.409
26.0,328.18100000000004
27.0,295.49
28.0,268.93600000000004
29.0,246.096
30.0,228.702
30.0,228.84000000000003
32.0,200.767
34.0,178.116
36.0,160.338
38.0,146.291
40.0,134.065
42.0,122.34
44.0,112.99
46.0,104.587
48.0,96.63159999999999
50.0,90.04419999999999
52.0,84.3913
54.0,80.3293
56.0,76.0851
58.0,71.0672
60.0,67.3973
65.0,58.352199999999996
70.0,51.7791
75.0,44.3729
80.0,39.5582
90.0,30.7676
100.0,24.841
110.00000000000001,20.577299999999997
120.0,17.439700000000002
130.0,15.0469
140.0,13.1355
150.0,11.5646
160.0,10.214
180.0,8.25322
200.0,6.93903
