E(MeV),xs(mb)
14.5814,0.0
15.0,1.15594
16.0,25.500500000000002
17.0,121.28000000000002
18.0,317.599
19.0,567.901
20.0,802.145
21.0,988.677
22.0,1118.12
23.0,1201.01
24.0,1249.15
25.0,1258.73
26.0,1219.57
27.0,1128.18
28.0,1002.43
29.0,865.5219999999999
30.0,735.633
30.0,736.086
32.0,530.7489999999999
34.0,405.68
36.0,335.156
38.0,296.49399999999997
40.0,269.873
42.0,251.28400000000002
44.0,238.425
46.0,225.26199999999997
48.0,214.23100000000002
50.0,203.85
52.0,194.872
54.0,185.894
56.0,178.007
58.0,171.68099999999998
60.0,166.272
65.0,154.95399999999998
70.0,144.707
75.0,135.544
80.0,127.342
90.0,114.601
100.0,105.28200000000001
110.00000000000001,95.59469999999999
120.0,85.02890000000001
130.0,76.8108
140.0,69.1029
150.0,62.6144
160.0,56.9636
180.0,47.1738
200.0,39.949
