E(MeV),xs(mb)
17.2578,0.0
18.0,2.19272
19.0,19.0334
20.0,53.4915
21.0,106.66
22.0,182.779
23.0,271.224
24.0,355.6
25.0,428.11199999999997
26.0,486.329
27.0,530.42
28.0,562.091
29.0,585.303
30.0,597.711
30.0,597.9409999999999
32.0,592.239
34.0,556.217
36.0,505.767
38.0,461.935
40.0,422.346
42.0,394.686
44.0,370.784
46.0,350.448
48.0,333.229
50.0,315.876
52.0,298.929
54.0,283.089
56.0,270.16499999999996
58.0,256.89099999999996
60.0,246.942
65.0,224.266
70.0,206.561
75.0,191.89499999999998
80.0,176.82
90.0,154.306
100.0,136.045
110.00000000000001,121.61699999999999
120.0,109.637
130.0,99.2075
140.0,89.55260000000001
150.0,81.8661
160.0,75.2039
180.0,62.8781
200.0,53.1074
