E(MeV),xs(mb)
20.260099999999998,0.0
21.0,1.3301
22.0,14.112100000000002
23.0,49.5681
24.0,115.021
25.0,204.325
26.0,301.54200000000003
27.0,390.132
28.0,462.24999999999994
29.0,513.666
30.0,547.931
30.0,547.947
32.0,580.856
34.0,578.446
36.0,539.5730000000001
38.0,464.79799999999994
40.0,382.218
42.0,314.235
44.0,265.48400000000004
46.0,232.071
48.0,210.055
50.0,193.803
52.0,181.936
54.0,172.417
56.0,163.439
58.0,155.738
60.0,150.513
65.0,138.372
70.0,130.055
75.0,122.41899999999998
80.0,114.765
90.0,100.237
100.0,86.4254
110.00000000000001,76.1483
120.0,67.37
130.0,60.0096
140.0,53.759499999999996
150.0,48.1778
160.0,43.590900000000005
180.0,35.6657
200.0,30.0507
