E(MeV),xs(mb)
7.87478,0.0
8.0,13.7397
8.5,239.32099999999997
9.0,810.988
9.5,1294.32
10.0,1595.75
10.5,1789.11
11.0,1910.08
11.5,1984.39
12.0,2029.28
12.5,2055.99
13.0,2069.94
13.5,2077.46
14.0,2083.58
14.5,2087.2799999999997
15.0,2088.33
16.0,1964.87
17.0,1650.79
18.0,1314.54
19.0,1034.8
20.0,820.482
21.0,660.271
22.0,550.19
23.0,473.827
24.0,424.28
25.0,388.749
26.0,365.788
27.0,348.111
28.0,334.868
29.0,323.103
30.0,312.973
30.0,315.475
32.0,297.894
34.0,287.219
36.0,271.493
38.0,257.036
40.0,243.602
42.0,231.63299999999998
44.0,220.812
46.0,210.461
48.0,200.57399999999998
50.0,191.92000000000002
52.0,187.619
54.0,185.28500000000003
56.0,178.938
58.0,173.333
60.0,168.572
65.0,156.624
70.0,147.46300000000002
75.0,138.951
80.0,131.792
90.0,119.481
100.0,108.518
110.00000000000001,99.96560000000001
120.0,92.60350000000001
130.0,86.1707
140.0,79.7282
150.0,72.8237
160.0,66.2204
180.0,56.010400000000004
200.0,47.3348
