E(MeV),xs(mb)
15.6217,0.0
16.0,8.84705
17.0,139.24099999999999
18.0,409.65299999999996
19.0,695.1850000000001
20.0,936.797
21.0,1109.1
22.0,1221.41
23.0,1287.49
24.0,1287.9499999999998
25.0,1199.02
26.0,1048.0400000000002
27.0,881.212
28.0,726.514
29.0,598.872
30.0,497.12699999999995
30.0,498.49699999999996
32.0,366.375
34.0,298.978
36.0,262.467
38.0,238.535
40.0,222.67600000000002
42.0,210.833
44.0,199.671
46.0,190.988
48.0,181.084
50.0,173.688
52.0,165.548
54.0,158.924
56.0,152.569
58.0,147.518
60.0,143.011
65.0,134.493
70.0,126.516
75.0,118.695
80.0,111.786
90.0,101.44200000000001
100.0,93.792
110.00000000000001,86.11940000000001
120.0,80.2872
130.0,73.7683
140.0,66.90039999999999
150.0,60.710300000000004
160.0,55.4974
180.0,46.742999999999995
200.0,40.524300000000004
