E(MeV),xs(mb)
24.8785,0.0
25.0,0.559047
26.0,8.28115
27.0,29.4012
28.0,75.5464
29.0,130.337
30.0,189.35299999999998
30.0,189.362
32.0,295.242
34.0,365.464
36.0,403.87399999999997
38.0,408.27099999999996
40.0,376.407
42.0,329.006
44.0,283.945
46.0,246.343
48.0,212.47500000000002
50.0,190.592
52.0,172.3
54.0,161.412
56.0,150.619
58.0,143.18900000000002
60.0,136.083
65.0,124.978
70.0,115.947
75.0,107.572
80.0,102.269
90.0,87.8711
100.0,75.56230000000001
110.00000000000001,67.0275
120.0,60.8108
130.0,53.273799999999994
140.0,48.9354
150.0,43.507
160.0,40.4743
180.0,33.161
200.0,28.0606
