E(MeV),xs(mb)
23.466,0.0
24.0,0.610823
25.0,12.3307
26.0,56.9888
27.0,154.345
28.0,291.488
29.0,448.369
30.0,605.1700000000001
30.0,605.312
32.0,870.5690000000001
34.0,1006.27
36.0,996.103
38.0,867.7189999999999
40.0,678.819
42.0,491.83000000000004
44.0,352.505
46.0,258.32099999999997
48.0,199.744
50.0,165.465
52.0,146.059
54.0,131.612
56.0,122.393
58.0,116.16899999999998
60.0,111.345
65.0,101.52799999999999
70.0,93.9277
75.0,89.1088
80.0,84.3595
90.0,77.1796
100.0,70.7606
110.00000000000001,66.15039999999999
120.0,62.4217
130.0,58.3791
140.0,55.8608
150.0,52.8527
160.0,49.9022
180.0,46.0701
200.0,41.7766
