E(MeV),xs(mb)
11.0,0.0
11.5,3.6103e-16
12.0,8.0671e-11
12.5,2.0826699999999996e-6
13.0,0.116008
13.5,19.352
14.0,95.0212
14.5,218.762
15.0,356.285
16.0,574.37
17.0,668.122
18.0,676.1840000000001
19.0,637.451
20.0,571.144
21.0,486.578
22.0,403.20799999999997
23.0,335.243
24.0,284.34
25.0,249.755
26.0,224.42600000000002
27.0,206.56900000000002
28.0,193.35
29.0,183.046
30.0,174.8
32.0,159.316
34.0,148.936
36.0,141.15
38.0,132.83100000000002
40.0,124.62500000000001
42.0,116.333
44.0,109.34299999999999
46.0,103.08200000000001
48.0,97.6387
50.0,92.56500000000001
52.0,87.6052
54.0,83.6106
56.0,80.79499999999999
58.0,78.0392
60.0,75.5702
65.0,71.8477
70.0,66.9796
75.0,63.4388
80.0,59.3346
90.0,53.1231
100.0,47.909800000000004
110.00000000000001,43.5314
120.0,39.9405
130.0,36.5379
140.0,33.4105
150.0,31.199599999999997
160.0,29.273600000000002
180.0,25.506500000000003
200.0,21.2874
