E(MeV),xs(mb)
22.5443,0.0
23.0,0.13364700000000002
24.0,1.46731
25.0,5.69052
26.0,12.2555
27.0,19.8956
28.0,26.726399999999998
29.0,32.9212
30.0,37.8744
30.0,37.8746
32.0,44.7897
34.0,48.675
36.0,50.5476
38.0,51.3384
40.0,50.0575
42.0,48.3045
44.0,46.7149
46.0,44.944199999999995
48.0,43.0963
50.0,41.078
52.0,38.9345
54.0,36.6423
56.0,35.3142
58.0,33.5541
60.0,32.2071
65.0,28.7494
70.0,26.3218
75.0,24.0025
80.0,22.7545
90.0,19.2308
100.0,16.4229
110.00000000000001,14.485399999999998
120.0,12.684999999999999
130.0,11.069500000000001
140.0,9.97539
150.0,8.72899
160.0,7.82317
180.0,6.71812
200.0,6.12647
