E(MeV),xs(mb)
14.5803,0.0
15.0,1.88518
16.0,71.3133
17.0,327.868
18.0,707.593
19.0,1080.54
20.0,1365.98
21.0,1552.26
22.0,1668.27
23.0,1732.52
24.0,1749.71
25.0,1701.6
26.0,1583.72
27.0,1409.81
28.0,1210.75
29.0,1015.9800000000001
30.0,842.515
30.0,845.877
32.0,596.051
34.0,456.02
36.0,383.06300000000005
38.0,342.97200000000004
40.0,316.849
42.0,297.074
44.0,282.61699999999996
46.0,267.474
48.0,255.99699999999999
50.0,243.641
52.0,234.073
54.0,224.61700000000002
56.0,216.158
58.0,210.47500000000002
60.0,204.31400000000002
65.0,193.046
70.0,180.369
75.0,171.52700000000002
80.0,163.364
90.0,149.742
100.0,138.624
110.00000000000001,129.291
120.0,120.145
130.0,113.42000000000002
140.0,106.65899999999999
150.0,101.03800000000001
160.0,96.0421
180.0,81.8419
200.0,71.113
