E(MeV),xs(mb)
8.08158,0.0
8.5,91.6088
9.0,448.801
9.5,868.167
10.0,1212.97
10.5,1459.29
11.0,1626.73
11.5,1740.06
12.0,1818.57
12.5,1875.27
13.0,1918.3300000000002
13.5,1952.3
14.0,1976.52
14.5,1987.96
15.0,1990.0
16.0,1967.24
17.0,1815.01
18.0,1497.34
19.0,1151.1899999999998
20.0,880.3720000000001
21.0,692.62
22.0,564.799
23.0,475.941
24.0,412.16400000000004
25.0,364.874
26.0,328.75600000000003
27.0,313.637
28.0,300.69
29.0,288.876
30.0,278.854
30.0,336.595
32.0,322.491
34.0,305.02
36.0,289.075
38.0,272.423
40.0,256.258
42.0,242.47
44.0,228.376
46.0,218.13099999999997
48.0,207.19599999999997
50.0,197.243
52.0,192.135
54.0,189.094
56.0,183.132
58.0,177.016
60.0,170.722
65.0,157.983
70.0,147.755
75.0,138.79600000000002
80.0,131.48
90.0,118.774
100.0,107.689
110.00000000000001,99.08200000000001
120.0,91.13210000000001
130.0,83.48240000000001
140.0,75.44279999999999
150.0,68.5959
160.0,62.8557
180.0,52.7825
200.0,45.0968
