E(MeV),xs(mb)
14.0,0.0
14.5,4.7696e-17
15.0,1.4568000000000002e-14
16.0,2.27212e-6
17.0,0.00109822
18.0,0.028707
19.0,0.381216
20.0,1.21327
21.0,7.21563
22.0,26.095100000000002
23.0,46.496700000000004
24.0,82.69729999999998
25.0,105.233
26.0,120.02
27.0,128.453
28.0,128.22299999999998
29.0,121.614
30.0,109.013
32.0,97.2552
34.0,86.816
36.0,77.38929999999999
38.0,72.6542
40.0,65.3597
42.0,62.8844
44.0,59.6903
46.0,53.782500000000006
48.0,52.177800000000005
50.0,48.5865
52.0,46.346
54.0,43.1459
56.0,42.0738
58.0,38.7386
60.0,36.697199999999995
65.0,33.7236
70.0,32.1101
75.0,29.9376
80.0,27.3292
90.0,24.4741
100.0,21.774300000000004
110.00000000000001,20.8508
120.0,19.010199999999998
130.0,16.705399999999997
140.0,15.922400000000001
150.0,13.641300000000001
160.0,12.860899999999999
180.0,10.9222
200.0,10.3001
