E(MeV),xs(mb)
11.27,0.0
11.5,22.5568
12.0,100.533
12.5,198.222
13.0,330.106
13.5,450.619
14.0,548.17
14.5,622.4490000000001
15.0,675.03
16.0,741.836
17.0,773.463
18.0,783.246
19.0,781.858
20.0,771.642
21.0,757.348
22.0,733.072
23.0,690.2289999999999
24.0,625.4870000000001
25.0,548.613
26.0,474.834
27.0,408.94599999999997
28.0,357.607
29.0,313.398
30.0,279.092
30.0,279.672
32.0,229.02300000000002
34.0,198.70600000000002
36.0,176.965
38.0,162.702
40.0,152.284
42.0,143.01299999999998
44.0,134.743
46.0,127.139
48.0,121.185
50.0,112.33
52.0,107.314
54.0,101.173
56.0,97.41839999999999
58.0,93.05669999999999
60.0,91.907
65.0,85.63000000000001
70.0,77.0951
75.0,70.4271
80.0,63.52159999999999
90.0,53.9497
100.0,46.3497
110.00000000000001,40.3218
120.0,34.5392
130.0,29.618299999999998
140.0,25.9846
150.0,22.8386
160.0,20.0562
180.0,15.9866
200.0,13.3061
