E(MeV),xs(mb)
13.6765,0.0
14.0,6.13584
14.5,67.6404
15.0,179.39700000000002
16.0,553.558
17.0,908.149
18.0,1163.4199999999998
19.0,1341.28
20.0,1438.3300000000002
21.0,1506.6299999999999
22.0,1550.64
23.0,1548.26
24.0,1457.4499999999998
25.0,1279.4399999999998
26.0,1066.1000000000001
27.0,868.7379999999999
28.0,703.12
29.0,581.0699999999999
30.0,495.37899999999996
30.0,496.93500000000006
32.0,405.187
34.0,346.279
36.0,312.924
38.0,290.198
40.0,270.462
42.0,256.195
44.0,242.354
46.0,231.006
48.0,218.596
50.0,208.836
52.0,199.694
54.0,190.042
56.0,184.69899999999998
58.0,178.36
60.0,173.068
65.0,165.503
70.0,156.78799999999998
75.0,148.53799999999998
80.0,141.656
90.0,129.604
100.0,121.479
110.00000000000001,113.504
120.0,105.09100000000001
130.0,99.45349999999999
140.0,93.79339999999999
150.0,87.67920000000001
160.0,81.83350000000002
180.0,69.6521
200.0,60.077999999999996
