E(MeV),xs(mb)
15.9765,0.0
16.0,0.016340399999999998
17.0,23.8336
18.0,156.583
19.0,417.763
20.0,693.434
21.0,942.267
22.0,1122.62
23.0,1251.98
24.0,1325.18
25.0,1362.3
26.0,1363.82
27.0,1322.41
28.0,1236.96
29.0,1112.7800000000002
30.0,967.7070000000001
30.0,967.811
32.0,676.883
34.0,450.95099999999996
36.0,310.986
38.0,234.048
40.0,192.983
42.0,171.84900000000002
44.0,159.14999999999998
46.0,149.755
48.0,142.48000000000002
50.0,135.62099999999998
52.0,130.771
54.0,125.01899999999999
56.0,119.576
58.0,116.309
60.0,112.72800000000001
65.0,106.929
70.0,101.423
75.0,95.50739999999999
80.0,90.32920000000001
90.0,81.4212
100.0,74.2024
110.00000000000001,69.2451
120.0,63.744
130.0,59.8186
140.0,55.408699999999996
150.0,53.047000000000004
160.0,49.2769
180.0,44.9328
200.0,38.9696
