E(MeV),xs(mb)
21.069,0.0
22.0,11.1755
23.0,65.9761
24.0,168.811
25.0,277.83000000000004
26.0,399.71299999999997
27.0,481.469
28.0,544.894
29.0,588.417
30.0,616.8929999999999
30.0,616.912
32.0,624.885
34.0,614.1560000000001
36.0,564.794
38.0,481.281
40.0,390.257
42.0,317.28700000000003
44.0,265.263
46.0,228.422
48.0,202.603
50.0,185.411
52.0,170.904
54.0,161.49
56.0,151.702
58.0,144.49099999999999
60.0,138.072
65.0,127.579
70.0,120.217
75.0,112.545
80.0,105.84800000000001
90.0,94.05879999999999
100.0,81.13149999999999
110.00000000000001,71.218
120.0,63.9226
130.0,57.1648
140.0,50.7142
150.0,45.9171
160.0,40.9767
180.0,34.0882
200.0,28.5444
