E(MeV),xs(mb)
6.90646,0.0
7.0,42.6469
7.2,180.351
7.4,376.22200000000004
7.6,592.8810000000001
7.8,810.186
8.0,1011.59
8.5,1397.46
9.0,1657.95
9.5,1818.91
10.0,1916.01
10.5,1976.55
11.0,2018.8600000000001
11.5,2043.47
12.0,2058.11
12.5,2066.14
13.0,2069.76
13.5,2039.32
14.0,1927.56
14.5,1776.53
15.0,1559.78
16.0,1151.6599999999999
17.0,847.069
18.0,654.146
19.0,520.523
20.0,458.702
21.0,411.615
22.0,382.21599999999995
23.0,358.65999999999997
24.0,342.288
25.0,327.866
26.0,314.182
27.0,301.733
28.0,291.79900000000004
29.0,280.98900000000003
30.0,271.951
30.0,273.06
32.0,257.092
34.0,246.596
36.0,232.40500000000003
38.0,218.561
40.0,205.64200000000002
42.0,194.892
44.0,184.156
46.0,176.29600000000002
48.0,168.834
50.0,161.89100000000002
52.0,158.513
54.0,157.15200000000002
56.0,152.206
58.0,146.767
60.0,141.98999999999998
65.0,131.393
70.0,123.07600000000001
75.0,115.171
80.0,109.5
90.0,97.785
100.0,89.3039
110.00000000000001,81.78020000000001
120.0,75.07119999999999
130.0,69.2873
140.0,64.5128
150.0,59.9062
160.0,55.06230000000001
180.0,46.7251
200.0,40.209599999999995
