E(MeV),xs(mb)
11.2277,0.0
11.5,27.3652
12.0,122.91300000000001
12.5,247.082
13.0,371.24399999999997
13.5,485.61899999999997
14.0,578.681
14.5,653.975
15.0,708.715
16.0,777.653
17.0,810.8240000000001
18.0,820.256
19.0,814.9459999999999
20.0,799.827
21.0,777.7
22.0,742.98
23.0,696.2170000000001
24.0,642.105
25.0,582.5120000000001
26.0,528.675
27.0,481.163
28.0,440.726
29.0,405.79200000000003
30.0,379.461
30.0,379.755
32.0,337.743
34.0,307.58299999999997
36.0,283.596
38.0,265.10699999999997
40.0,249.261
42.0,233.41
44.0,219.391
46.0,206.45
48.0,193.621
50.0,180.75699999999998
52.0,168.65099999999998
54.0,158.979
56.0,150.264
58.0,144.82
60.0,140.207
65.0,125.07999999999998
70.0,110.89899999999999
75.0,98.7032
80.0,89.4068
90.0,74.7795
100.0,63.259
110.00000000000001,54.6185
120.0,47.6579
130.0,41.8565
140.0,36.8296
150.0,32.8165
160.0,29.2862
180.0,23.723100000000002
200.0,20.0734
