E(MeV),xs(mb)
7.27418,0.0
7.4,4.55984
7.6,24.0508
7.8,64.947
8.0,107.428
8.5,215.685
9.0,321.005
9.5,413.75
10.0,531.508
10.5,691.446
11.0,817.955
11.5,925.041
12.0,1016.7299999999999
12.5,1076.03
13.0,1126.29
13.5,1158.58
14.0,1177.8500000000001
14.5,1189.48
15.0,1196.79
16.0,1199.3899999999999
17.0,1202.19
18.0,1196.7
19.0,1184.1200000000001
20.0,1148.66
21.0,1067.04
22.0,947.5339999999999
23.0,829.5870000000001
24.0,721.184
25.0,627.332
26.0,558.529
27.0,498.97099999999995
28.0,458.882
29.0,425.81499999999994
30.0,401.50100000000003
30.0,402.233
32.0,363.759
34.0,336.495
36.0,316.697
38.0,297.993
40.0,280.049
42.0,265.28900000000004
44.0,251.132
46.0,237.06
48.0,223.522
50.0,211.30499999999998
52.0,200.61499999999998
54.0,192.164
56.0,186.346
58.0,181.676
60.0,175.201
65.0,157.84
70.0,143.496
75.0,130.534
80.0,119.269
90.0,100.003
100.0,84.59360000000001
110.00000000000001,73.3031
120.0,64.7219
130.0,56.6394
140.0,50.5914
150.0,44.288
160.0,40.0436
180.0,32.1015
200.0,26.9574
