E(MeV),xs(mb)
1.0e-11,3.94023e7
1.03223e-11,3.87822e7
1.06549e-11,3.81722e7
1.0998399999999998e-11,3.75715e7
1.13527e-11,3.69805e7
1.1718599999999999e-11,3.63986e7
1.2096199999999998e-11,3.5826e7
1.24861e-11,3.52623e7
1.2888399999999999e-11,3.47076e7
1.3303799999999998e-11,3.41615e7
1.37325e-11,3.36241e7
1.41751e-11,3.3095e7
1.4631799999999997e-11,3.25744e7
1.51034e-11,3.20619e7
1.5590099999999998e-11,3.15575e7
1.6092599999999998e-11,3.1061e7
1.66111e-11,3.05724e7
1.71465e-11,3.00913e7
1.7699e-11,2.9618000000000004e7
1.8269399999999998e-11,2.91519e7
1.88581e-11,2.8693399999999996e7
1.94659e-11,2.8241900000000004e7
2.00931e-11,2.77977e7
2.0740699999999998e-11,2.73603e7
2.1408999999999998e-11,2.69299e7
2.2099099999999997e-11,2.65062e7
2.28111e-11,2.60892e7
2.3546399999999998e-11,2.56787e7
2.4305099999999997e-11,2.52748e7
2.50884e-11,2.48771e7
2.5896799999999997e-11,2.4485800000000004e7
2.67315e-11,2.41006e7
2.75928e-11,2.37215e7
2.8482199999999998e-11,2.33482e7
2.93999e-11,2.2980999999999996e7
3.0347499999999995e-11,2.26194e7
3.13253e-11,2.22636e7
3.2335e-11,2.1913299999999996e7
3.33769e-11,2.15686e7
3.44526e-11,2.1229300000000004e7
3.55627e-11,2.08954e7
3.67089e-11,2.05666e7
3.7891799999999997e-11,2.02431e7
3.9113e-11,1.99246e7
4.0373400000000003e-11,1.96112e7
4.1674599999999996e-11,1.93027e7
4.3017399999999996e-11,1.89991e7
4.440389999999999e-11,1.87002e7
4.58347e-11,1.84061e7
4.7311899999999994e-11,1.81165e7
4.883639999999999e-11,1.78315e7
5.0410399999999995e-11,1.7551e7
5.20348e-11,1.7275e7
5.37119e-11,1.70032e7
5.54426e-11,1.67358e7
5.7229499999999995e-11,1.6472500000000002e7
5.907359999999999e-11,1.62134e7
6.09775e-11,1.59584e7
6.29424e-11,1.57074e7
6.497099999999999e-11,1.54603e7
6.70645e-11,1.5217099999999998e7
6.9226e-11,1.49777e7
7.145659999999999e-11,1.47422e7
7.37596e-11,1.45103e7
7.61364e-11,1.42821e7
7.85902e-11,1.40574e7
8.11227e-11,1.38363e7
8.37372e-11,1.36187e7
8.643549999999999e-11,1.34045e7
8.922119999999998e-11,1.31937e7
9.209619999999999e-11,1.2986200000000002e7
9.506439999999999e-11,1.27819e7
9.81277e-11,1.25809e7
1.01291e-10,1.2383e7
1.04554e-10,1.21883e7
1.07924e-10,1.19966e7
1.11402e-10,1.1808e7
1.1499200000000001e-10,1.16222e7
1.1869700000000001e-10,1.14395e7
1.22523e-10,1.12596e7
1.26471e-10,1.10825e7
1.30547e-10,1.0908199999999998e7
1.34754e-10,1.0736699999999998e7
1.3909700000000002e-10,1.05678e7
1.43579e-10,1.04017e7
1.48207e-10,1.0238100000000002e7
1.52982e-10,1.0077100000000002e7
1.57913e-10,9.91866e6
1.6300100000000001e-10,9.76273e6
1.68254e-10,9.6092e6
1.73676e-10,9.45813e6
1.79274e-10,9.3094e6
1.8505000000000002e-10,9.16305e6
1.91014e-10,9.01896e6
1.97169e-10,8.87718e6
2.03524e-10,8.7376e6
2.1008200000000003e-10,8.60025e6
2.16853e-10,8.46502e6
2.2384e-10,8.331960000000001e6
2.31055e-10,8.20096e6
2.385e-10,8.07206e6
2.46187e-10,7.94515e6
2.5412e-10,7.82027e6
2.6231e-10,7.69732e6
2.70762e-10,7.57634e6
2.7948900000000003e-10,7.45724e6
2.88494e-10,7.34004e6
2.9779300000000004e-10,7.22465e6
3.07388e-10,7.11111e6
3.1729500000000004e-10,6.99934e6
3.27519e-10,6.88934e6
3.38075e-10,6.78105e6
3.4896900000000003e-10,6.6745e6
3.6021600000000004e-10,6.56959e6
3.7182300000000004e-10,6.46636e6
3.83807e-10,6.36473e6
3.96174e-10,6.26473e6
4.08943e-10,6.16628e6
4.2212e-10,6.06939e6
4.3572499999999996e-10,5.97402e6
4.4976500000000005e-10,5.88016e6
4.6426100000000007e-10,5.78776e6
4.79221e-10,5.69684e6
4.94666e-10,5.60733e6
5.10605e-10,5.51924e6
5.270620000000001e-10,5.43253e6
5.440450000000001e-10,5.3472e6
5.6158e-10,5.26319e6
5.796750000000001e-10,5.18052e6
5.98358e-10,5.09914e6
6.176389999999999e-10,5.01906e6
6.37545e-10,4.94022e6
6.58089e-10,4.86264e6
6.79298e-10,4.78626e6
7.01188e-10,4.7111e6
7.237860000000001e-10,4.63711e6
7.47109e-10,4.5643e6
7.71188e-10,4.49262e6
7.960380000000001e-10,4.42208e6
8.21693e-10,4.35265e6
8.48171e-10,4.28431e6
8.75507e-10,4.21704e6
9.037190000000002e-10,4.1508399999999995e6
9.32845e-10,4.08568e6
9.62904e-10,4.0215500000000005e6
9.93937e-10,3.95842e6
1.0259700000000001e-9,3.89629e6
1.05903e-9,3.83513e6
1.09316e-9,3.77494e6
1.12839e-9,3.7157e6
1.16475e-9,3.65739e6
1.2022900000000002e-9,3.6e6
1.2410300000000002e-9,3.54351e6
1.28103e-9,3.48791e6
1.3223100000000002e-9,3.43319e6
1.36492e-9,3.37933e6
1.4089000000000002e-9,3.32632e6
1.4543100000000001e-9,3.27414e6
1.5011699999999999e-9,3.22278e6
1.5495600000000002e-9,3.17223e6
1.5994900000000002e-9,3.12249e6
1.6510400000000001e-9,3.07351e6
1.7042400000000001e-9,3.02532e6
1.75917e-9,2.97788e6
1.81585e-9,2.93119e6
1.87438e-9,2.88524e6
1.9347700000000003e-9,2.84001e6
1.99713e-9,2.79549e6
2.06148e-9,2.75167e6
2.1279200000000002e-9,2.70854e6
2.19649e-9,2.6661e6
2.26728e-9,2.62432e6
2.3403400000000002e-9,2.5832e6
2.4157700000000002e-9,2.54273e6
2.49362e-9,2.5029e6
2.5739800000000002e-9,2.46369e6
2.65692e-9,2.42511e6
2.7425500000000002e-9,2.38712e6
2.8309300000000003e-9,2.34975e6
2.92217e-9,2.31295e6
3.01633e-9,2.27674e6
3.11354e-9,2.2411e6
3.21387e-9,2.20602e6
3.3174500000000004e-9,2.17149e6
3.42435e-9,2.13751e6
3.53471e-9,2.10407e6
3.6486100000000003e-9,2.0711499999999998e6
3.7662000000000005e-9,2.0387499999999998e6
3.88757e-9,2.00686e6
4.01286e-9,1.97547e6
4.14217e-9,1.94458e6
4.2756600000000005e-9,1.91417e6
4.41344e-9,1.88425e6
4.55568e-9,1.8548e6
4.7024800000000005e-9,1.82581e6
4.85404e-9,1.79728e6
5.01045e-9,1.7692e6
5.17193e-9,1.74156e6
5.338590000000001e-9,1.71437e6
5.510650000000001e-9,1.68759e6
5.688220000000001e-9,1.66125e6
5.871540000000001e-9,1.63532e6
6.06075e-9,1.6098e6
6.256080000000001e-9,1.58468e6
6.4576700000000005e-9,1.55996e6
6.665790000000001e-9,1.53562e6
6.8805900000000005e-9,1.51168e6
7.1023400000000005e-9,1.48811e6
7.33121e-9,1.46491e6
7.56748e-9,1.44208e6
7.81133e-9,1.41961e6
8.06308e-9,1.39749e6
8.32291e-9,1.37572e6
8.59114e-9,1.3543e6
8.86798e-9,1.33322e6
9.15378e-9,1.31247e6
9.44875e-9,1.29205e6
9.753270000000001e-9,1.27195e6
1.0067600000000001e-8,1.25217e6
1.0392e-8,1.2327e6
1.07269e-8,1.21355e6
1.10726e-8,1.19469e6
1.1429400000000001e-8,1.17614e6
1.17978e-8,1.15788e6
1.21779e-8,1.13991e6
1.25704e-8,1.12222e6
1.29755e-8,1.10482e6
1.33937e-8,1.08769e6
1.3825300000000001e-8,1.07083e6
1.42708e-8,1.05424e6
1.4730700000000002e-8,1.0379100000000001e6
1.52054e-8,1.0218400000000001e6
1.56954e-8,1.0060199999999999e6
1.62012e-8,990457.0
1.67233e-8,975141.0
1.72623e-8,960066.0
1.78185e-8,945233.0
1.83928e-8,930634.0
1.89855e-8,916269.0
1.9597400000000002e-8,902131.9999999999
2.02289e-8,888221.0000000001
2.0880800000000003e-8,874531.0
2.15537e-8,861062.0000000001
2.2248299999999998e-8,847805.9999999999
2.2965200000000002e-8,834764.0
2.37054e-8,821928.0
2.4469300000000002e-8,809299.0
2.52522e-8,796957.0
2.5299999999999998e-8,796222.0
2.61154e-8,784002.0
2.69569e-8,771977.0
2.7825700000000004e-8,760144.0
2.8722400000000002e-8,748501.0
2.9648e-8,737043.0
3.06034e-8,725771.0
3.1589700000000004e-8,714678.0
3.26077e-8,703767.0
3.36586e-8,693030.0
3.47432e-8,682468.0
3.58629e-8,672076.0
3.70185e-8,661852.0
3.8211599999999997e-8,651791.0
3.94429e-8,641892.0
4.07141e-8,632150.0
4.20261e-8,622566.0
4.33805e-8,613136.0
4.4778399999999994e-8,603859.0
4.622150000000001e-8,594731.0
4.7710999999999996e-8,585753.0
4.92486e-8,576920.0
5.0835600000000004e-8,568232.0
5.2474e-8,559684.0
5.41649e-8,551277.0
5.59105e-8,543006.0
5.77122e-8,534873.0
5.95722e-8,526872.0
6.149180000000001e-8,519005.0
6.347360000000001e-8,511266.0
6.5519e-8,503655.99999999994
6.76305e-8,496169.0
6.980990000000001e-8,488806.00000000006
7.20597e-8,481562.99999999994
7.43818e-8,474440.0
7.6779e-8,467434.99999999994
7.92531e-8,460548.0
8.18073e-8,453774.00000000006
8.44435e-8,447115.0
8.716490000000001e-8,440567.0
8.99737e-8,434130.00000000006
9.28735e-8,427799.99999999994
9.58662e-8,421579.0
9.89558e-8,415462.00000000006
1.0214499999999999e-7,409450.0
1.0543699999999999e-7,403538.99999999994
1.0883400000000001e-7,397732.0
1.12342e-7,392025.0
1.15962e-7,386419.0
1.19699e-7,380910.0
1.23818e-7,375137.0
1.28079e-7,369469.0
1.3248599999999999e-7,363906.0
1.37045e-7,358448.0
1.41761e-7,353092.0
1.46639e-7,347839.0
1.51685e-7,342686.0
1.56905e-7,337632.0
1.62304e-7,332676.0
1.67889e-7,327816.0
1.73666e-7,323052.0
1.79643e-7,318382.0
1.8582399999999998e-7,313805.0
1.92219e-7,309320.0
1.98833e-7,304925.0
2.05675e-7,300621.0
2.12753e-7,296406.0
2.2007400000000002e-7,292279.0
2.27647e-7,288242.0
2.3548e-7,284293.0
2.4358399999999997e-7,280426.0
2.51966e-7,276642.0
2.60636e-7,272941.0
2.69605e-7,269323.0
2.7888199999999997e-7,265788.0
2.88479e-7,262335.0
2.98406e-7,258964.00000000003
3.08674e-7,255674.0
3.1929599999999995e-7,252464.00000000003
3.30284e-7,249335.0
3.4164899999999996e-7,246286.0
3.53406e-7,243316.0
3.65567e-7,240425.00000000003
3.78146e-7,237614.0
3.91159e-7,234882.0
4.04619e-7,232229.00000000003
4.1854199999999994e-7,229656.0
4.3294499999999994e-7,227161.0
4.47843e-7,224747.0
4.632539999999999e-7,222417.0
4.80208e-7,220025.0
4.97785e-7,217722.00000000003
5.16003e-7,215509.0
5.34891e-7,213389.0
5.54467e-7,211362.0
5.74762e-7,209429.0
5.95798e-7,207590.0
6.17606e-7,205848.0
6.40209e-7,204204.0
6.636429999999999e-7,202658.0
6.87931e-7,201213.0
7.131109999999999e-7,199870.0
7.3921e-7,198631.0
7.662679999999999e-7,197500.0
7.94312e-7,196477.0
8.23386e-7,195565.0
8.535209999999999e-7,194767.0
8.847619999999999e-7,194091.0
9.19087e-7,193504.0
9.52724e-7,193074.0
9.87596e-7,192771.0
1.0207699999999998e-6,192607.0
1.0503599999999999e-6,192555.0
1.1031699999999999e-6,192679.0
1.1667499999999999e-6,193144.0
1.24265e-6,194105.0
1.33281e-6,195755.0
1.4496899999999998e-6,198571.0
1.5990599999999998e-6,203049.0
2.09529e-6,220337.0
2.2630599999999997e-6,224764.0
2.3935e-6,226781.0
2.48653e-6,227233.00000000003
2.6115499999999996e-6,226335.0
2.72365e-6,223982.0
2.83522e-6,220183.99999999997
2.95692e-6,214545.0
3.1056e-6,205934.00000000003
3.31188e-6,192062.0
3.6023e-6,172028.0
3.75693e-6,162386.0
3.89094e-6,155010.0
4.02953e-6,148485.0
4.144879999999999e-6,143965.0
4.2626600000000005e-6,140197.0
4.38378e-6,137192.0
4.50835e-6,134969.0
4.636459999999999e-6,133516.0
4.80184e-6,132704.0
4.859309999999999e-6,132653.0
5.06789e-6,133149.0
5.40886e-6,134465.0
5.4710799999999995e-6,134523.0
5.65029e-6,134018.0
5.80144e-6,132638.0
5.94702e-6,130407.0
6.084559999999999e-6,127512.0
6.25745e-6,122951.00000000001
6.479339999999999e-6,116048.0
6.901139999999999e-6,102113.00000000001
7.09724e-6,96263.1
7.24779e-6,92310.59999999999
7.4018899999999995e-6,88824.7
7.55889e-6,85873.3
7.71961e-6,83454.9
7.883359999999999e-6,81557.0
8.06381e-6,80029.40000000001
8.271019999999999e-6,78868.6
8.50604e-6,78159.5
8.716889999999999e-6,77967.3
9.0145e-6,78243.2
9.596909999999999e-6,79404.9
9.805659999999999e-6,79554.3
1.00141e-5,79378.8
1.0299400000000002e-5,78577.1
1.07415e-5,76795.0
1.09694e-5,76242.5
1.1087e-5,76161.59999999999
1.1322800000000001e-5,76416.4
