E(MeV),xs(mb)
1.0e-11,4.66892e6
1.03223e-11,4.59545e6
1.06549e-11,4.52317e6
1.0998399999999998e-11,4.45199e6
1.13527e-11,4.38197e6
1.1718599999999999e-11,4.31302e6
1.2096199999999998e-11,4.24518e6
1.24861e-11,4.1783799999999995e6
1.2888399999999999e-11,4.11266e6
1.3303799999999998e-11,4.0479399999999995e6
1.37325e-11,3.98427e6
1.41751e-11,3.92158e6
1.4631799999999997e-11,3.8599e6
1.51034e-11,3.79917e6
1.5590099999999998e-11,3.73941e6
1.6092599999999998e-11,3.68057e6
1.66111e-11,3.62268e6
1.71465e-11,3.56568e6
1.7699e-11,3.5096e6
1.8269399999999998e-11,3.45438e6
1.88581e-11,3.40005e6
1.94659e-11,3.34655e6
2.00931e-11,3.29392e6
2.0740699999999998e-11,3.24209e6
2.1408999999999998e-11,3.1911e6
2.2099099999999997e-11,3.14089e6
2.28111e-11,3.09149e6
2.3546399999999998e-11,3.04285e6
2.4305099999999997e-11,2.99499e6
2.50884e-11,2.94788e6
2.5896799999999997e-11,2.90151e6
2.67315e-11,2.85586e6
2.75928e-11,2.81095e6
2.8482199999999998e-11,2.76672e6
2.93999e-11,2.72321e6
3.0347499999999995e-11,2.68037e6
3.13253e-11,2.63821e6
3.2335e-11,2.59671e6
3.33769e-11,2.55587e6
3.44526e-11,2.51567e6
3.55627e-11,2.4761e6
3.67089e-11,2.43715e6
3.7891799999999997e-11,2.39882e6
3.9113e-11,2.36109e6
4.0373400000000003e-11,2.32396e6
4.1674599999999996e-11,2.2874e6
4.3017399999999996e-11,2.25143e6
4.440389999999999e-11,2.21601e6
4.58347e-11,2.18116e6
4.7311899999999994e-11,2.14686e6
4.883639999999999e-11,2.1131e6
5.0410399999999995e-11,2.07986e6
5.20348e-11,2.0471499999999998e6
5.37119e-11,2.0149599999999998e6
5.54426e-11,1.98327e6
5.7229499999999995e-11,1.95208e6
5.907359999999999e-11,1.92138e6
6.09775e-11,1.89117e6
6.29424e-11,1.86143e6
6.497099999999999e-11,1.83215e6
6.70645e-11,1.80335e6
6.9226e-11,1.77499e6
7.145659999999999e-11,1.74708e6
7.37596e-11,1.71961e6
7.61364e-11,1.69257e6
7.85902e-11,1.66595e6
8.11227e-11,1.63976e6
8.37372e-11,1.61398e6
8.643549999999999e-11,1.5886e6
8.922119999999998e-11,1.56363e6
9.209619999999999e-11,1.53905e6
9.506439999999999e-11,1.51485e6
9.81277e-11,1.49103e6
1.01291e-10,1.46759e6
1.04554e-10,1.44452e6
1.07924e-10,1.42181e6
1.11402e-10,1.39947e6
1.1499200000000001e-10,1.37746e6
1.1869700000000001e-10,1.35582e6
1.22523e-10,1.3345e6
1.26471e-10,1.31353e6
1.30547e-10,1.29288e6
1.34754e-10,1.27256e6
1.3909700000000002e-10,1.25256e6
1.43579e-10,1.23288e6
1.48207e-10,1.2135e6
1.52982e-10,1.19443e6
1.57913e-10,1.17566e6
1.6300100000000001e-10,1.15719e6
1.68254e-10,1.139e6
1.73676e-10,1.12111e6
1.79274e-10,1.10349e6
1.8505000000000002e-10,1.08616e6
1.91014e-10,1.06909e6
1.97169e-10,1.0523e6
2.03524e-10,1.0357700000000001e6
2.1008200000000003e-10,1.0195000000000001e6
2.16853e-10,1.0034799999999999e6
2.2384e-10,987723.0000000001
2.31055e-10,972207.0
2.385e-10,956940.0
2.46187e-10,941910.0
2.5412e-10,927120.0
2.6231e-10,912559.0000000001
2.70762e-10,898232.0
2.7948900000000003e-10,884126.0
2.88494e-10,870247.0
2.9779300000000004e-10,856583.0
3.07388e-10,843136.9999999999
3.1729500000000004e-10,829900.0
3.27519e-10,816874.0
3.38075e-10,804050.9999999999
3.4896900000000003e-10,791433.0
3.6021600000000004e-10,779011.0
3.7182300000000004e-10,766787.0
3.83807e-10,754754.0
3.96174e-10,742912.0
4.08943e-10,731255.0
4.2212e-10,719783.0
4.3572499999999996e-10,708491.0
4.4976500000000005e-10,697378.0
4.6426100000000007e-10,686438.0
4.79221e-10,675673.0
4.94666e-10,665076.0
5.10605e-10,654647.0
5.270620000000001e-10,644381.0
5.440450000000001e-10,634279.0
5.6158e-10,624334.0
5.796750000000001e-10,614548.0
5.98358e-10,604914.0
