E(MeV),xs(mb)
1.0e-11,160776.0
1.03223e-11,158247.0
1.06549e-11,155759.0
1.0998399999999998e-11,153310.0
1.13527e-11,150900.0
1.1718599999999999e-11,148527.0
1.2096199999999998e-11,146192.0
1.24861e-11,143893.0
1.2888399999999999e-11,141631.0
1.3303799999999998e-11,139404.0
1.37325e-11,137213.0
1.41751e-11,135055.0
1.4631799999999997e-11,132932.0
1.51034e-11,130841.99999999999
1.5590099999999998e-11,128786.0
1.6092599999999998e-11,126760.99999999999
1.66111e-11,124769.0
1.71465e-11,122807.0
1.7699e-11,120876.99999999999
1.8269399999999998e-11,118977.0
1.88581e-11,117107.99999999999
1.94659e-11,115267.00000000001
2.00931e-11,113456.0
2.0740699999999998e-11,111672.0
2.1408999999999998e-11,109918.0
2.2099099999999997e-11,108190.00000000001
2.28111e-11,106491.0
2.3546399999999998e-11,104817.0
2.4305099999999997e-11,103170.0
2.50884e-11,101549.0
2.5896799999999997e-11,99954.09999999999
2.67315e-11,98383.59999999999
2.75928e-11,96838.3
2.8482199999999998e-11,95317.0
2.93999e-11,93820.0
3.0347499999999995e-11,92346.2
3.13253e-11,90896.00000000001
3.2335e-11,89468.4
3.33769e-11,88063.59999999999
3.44526e-11,86680.6
3.55627e-11,85319.7
3.67089e-11,83979.9
3.7891799999999997e-11,82661.59999999999
3.9113e-11,81363.8
4.0373400000000003e-11,80086.7
4.1674599999999996e-11,78829.5
4.3017399999999996e-11,77592.4
4.440389999999999e-11,76374.5
4.58347e-11,75176.1
4.7311899999999994e-11,73996.4
4.883639999999999e-11,72835.5
5.0410399999999995e-11,71692.7
5.20348e-11,70568.2
5.37119e-11,69461.2
5.54426e-11,68371.8
5.7229499999999995e-11,67299.5
5.907359999999999e-11,66244.3
6.09775e-11,65205.5
6.29424e-11,64183.3
6.497099999999999e-11,63177.1
6.70645e-11,62187.0
6.9226e-11,61212.299999999996
7.145659999999999e-11,60253.2
7.37596e-11,59309.0
7.61364e-11,58380.0
7.85902e-11,57465.5
8.11227e-11,56565.5
8.37372e-11,55679.7
8.643549999999999e-11,54808.0
8.922119999999998e-11,53949.9
9.209619999999999e-11,53105.6
9.506439999999999e-11,52274.399999999994
9.81277e-11,51456.600000000006
1.01291e-10,50651.4
1.04554e-10,49859.299999999996
1.07924e-10,49079.4
1.11402e-10,48312.2
1.1499200000000001e-10,47556.9
1.1869700000000001e-10,46813.700000000004
1.22523e-10,46082.1
1.26471e-10,45362.299999999996
1.30547e-10,44653.7
1.34754e-10,43956.5
1.3909700000000002e-10,43270.200000000004
1.43579e-10,42595.0
1.48207e-10,41930.2
1.52982e-10,41276.200000000004
1.57913e-10,40632.4
1.6300100000000001e-10,39999.0
1.68254e-10,39375.4
1.73676e-10,38762.0
1.79274e-10,38158.0
1.8505000000000002e-10,37563.9
1.91014e-10,36979.0
1.97169e-10,36403.6
2.03524e-10,35837.2
2.1008200000000003e-10,35279.9
2.16853e-10,34731.4
2.2384e-10,34191.7
2.31055e-10,33660.5
2.385e-10,33137.8
2.46187e-10,32623.4
2.5412e-10,32117.300000000003
2.6231e-10,31619.100000000002
2.70762e-10,31128.999999999996
2.7948900000000003e-10,30646.6
2.88494e-10,30172.0
2.9779300000000004e-10,29704.8
3.07388e-10,29245.199999999997
3.1729500000000004e-10,28792.9
3.27519e-10,28347.899999999998
3.38075e-10,27909.899999999998
3.4896900000000003e-10,27479.0
3.6021600000000004e-10,27054.9
3.7182300000000004e-10,26637.6
3.83807e-10,26227.0
3.96174e-10,25823.0
4.08943e-10,25425.5
4.2212e-10,25034.3
4.3572499999999996e-10,24649.399999999998
4.4976500000000005e-10,24270.7
4.6426100000000007e-10,23898.100000000002
4.79221e-10,23531.5
4.94666e-10,23170.7
5.10605e-10,22815.8
5.270620000000001e-10,22466.499999999996
5.440450000000001e-10,22122.899999999998
5.6158e-10,21784.8
5.796750000000001e-10,21452.100000000002
5.98358e-10,21124.800000000003
6.176389999999999e-10,20802.9
6.37545e-10,20486.0
6.58089e-10,20174.4
6.79298e-10,19867.7
7.01188e-10,19566.0
7.237860000000001e-10,19269.1
7.47109e-10,18977.1
7.71188e-10,18689.8
7.960380000000001e-10,18407.2
8.21693e-10,18129.1
8.48171e-10,17855.6
8.75507e-10,17586.4
9.037190000000002e-10,17321.7
9.32845e-10,17061.2
9.62904e-10,16805.0
9.93937e-10,16553.0
1.0259700000000001e-9,16305.0
1.05903e-9,16061.099999999999
1.09316e-9,15821.199999999999
1.12839e-9,15585.1
1.16475e-9,15352.9
1.2022900000000002e-9,15124.5
1.2410300000000002e-9,14899.800000000001
