E(MeV),xs(mb)
1.0e-11,3.73064e6
1.03223e-11,3.67196e6
1.06549e-11,3.61423e6
1.0998399999999998e-11,3.55739e6
1.13527e-11,3.50146e6
1.1718599999999999e-11,3.4464e6
1.2096199999999998e-11,3.39222e6
1.24861e-11,3.33887e6
1.2888399999999999e-11,3.28638e6
1.3303799999999998e-11,3.2347e6
1.37325e-11,3.18386e6
1.41751e-11,3.13379e6
1.4631799999999997e-11,3.08453e6
1.51034e-11,3.03603e6
1.5590099999999998e-11,2.98831e6
1.6092599999999998e-11,2.94133e6
1.66111e-11,2.8951e6
1.71465e-11,2.84958e6
1.7699e-11,2.8048e6
1.8269399999999998e-11,2.76071e6
1.88581e-11,2.71732e6
1.94659e-11,2.6746e6
2.00931e-11,2.63257e6
2.0740699999999998e-11,2.59119e6
2.1408999999999998e-11,2.55048e6
2.2099099999999997e-11,2.51039e6
2.28111e-11,2.47095e6
2.3546399999999998e-11,2.43211e6
2.4305099999999997e-11,2.3939e6
2.50884e-11,2.35628e6
2.5896799999999997e-11,2.31926e6
2.67315e-11,2.28282e6
2.75928e-11,2.24696e6
2.8482199999999998e-11,2.21165e6
2.93999e-11,2.17691e6
3.0347499999999995e-11,2.14271e6
3.13253e-11,2.10906e6
3.2335e-11,2.07593e6
3.33769e-11,2.04333e6
3.44526e-11,2.0112299999999998e6
3.55627e-11,1.97965e6
3.67089e-11,1.94856e6
3.7891799999999997e-11,1.91797e6
3.9113e-11,1.88785e6
4.0373400000000003e-11,1.85821e6
4.1674599999999996e-11,1.82903e6
4.3017399999999996e-11,1.80032e6
4.440389999999999e-11,1.77206e6
4.58347e-11,1.74424e6
4.7311899999999994e-11,1.71686e6
4.883639999999999e-11,1.68992e6
5.0410399999999995e-11,1.6634e6
5.20348e-11,1.6373e6
5.37119e-11,1.6116e6
5.54426e-11,1.58632e6
5.7229499999999995e-11,1.56143e6
5.907359999999999e-11,1.53694e6
6.09775e-11,1.51283e6
6.29424e-11,1.4891e6
6.497099999999999e-11,1.46575e6
6.70645e-11,1.44277e6
6.9226e-11,1.42014e6
7.145659999999999e-11,1.39788e6
7.37596e-11,1.37596e6
7.61364e-11,1.35439e6
7.85902e-11,1.33316e6
8.11227e-11,1.31227e6
8.37372e-11,1.29171e6
8.643549999999999e-11,1.27147e6
8.922119999999998e-11,1.25155e6
9.209619999999999e-11,1.23195e6
9.506439999999999e-11,1.21265e6
9.81277e-11,1.19366e6
1.01291e-10,1.17496e6
1.04554e-10,1.15657e6
1.07924e-10,1.13846e6
