E(MeV),xs(mb)
1.0e-11,55512.49999999999
1.03223e-11,54641.3
1.06549e-11,53784.200000000004
1.0998399999999998e-11,52940.2
1.13527e-11,52110.0
1.1718599999999999e-11,51292.5
1.2096199999999998e-11,50488.200000000004
1.24861e-11,49696.3
1.2888399999999999e-11,48917.200000000004
1.3303799999999998e-11,48150.2
1.37325e-11,47395.50000000001
1.41751e-11,46652.4
1.4631799999999997e-11,45921.399999999994
1.51034e-11,45201.700000000004
1.5590099999999998e-11,44493.5
1.6092599999999998e-11,43796.4
1.66111e-11,43110.4
1.71465e-11,42435.1
1.7699e-11,41770.7
1.8269399999999998e-11,41116.6
1.88581e-11,40473.0
1.94659e-11,39839.4
2.00931e-11,39216.0
2.0740699999999998e-11,38602.2
2.1408999999999998e-11,37998.4
2.2099099999999997e-11,37404.0
2.28111e-11,36819.1
2.3546399999999998e-11,36243.3
2.4305099999999997e-11,35676.8
2.50884e-11,35119.1
2.5896799999999997e-11,34570.4
2.67315e-11,34030.3
2.75928e-11,33498.8
2.8482199999999998e-11,32975.7
2.93999e-11,32460.9
3.0347499999999995e-11,31954.2
3.13253e-11,31455.7
3.2335e-11,30964.9
3.33769e-11,30482.100000000002
3.44526e-11,30006.8
3.55627e-11,29539.1
3.67089e-11,29078.8
3.7891799999999997e-11,28625.9
3.9113e-11,28180.100000000002
4.0373400000000003e-11,27741.4
4.1674599999999996e-11,27309.7
4.3017399999999996e-11,26884.899999999998
4.440389999999999e-11,26466.8
4.58347e-11,26055.4
4.7311899999999994e-11,25650.5
4.883639999999999e-11,25252.1
5.0410399999999995e-11,24860.000000000004
5.20348e-11,24474.2
5.37119e-11,24094.5
5.54426e-11,23720.9
5.7229499999999995e-11,23353.199999999997
5.907359999999999e-11,22991.5
6.09775e-11,22635.5
6.29424e-11,22285.2
6.497099999999999e-11,21940.5
6.70645e-11,21601.3
6.9226e-11,21267.5
7.145659999999999e-11,20939.100000000002
7.37596e-11,20615.899999999998
7.61364e-11,20298.0
7.85902e-11,19985.1
8.11227e-11,19677.2
8.37372e-11,19374.3
8.643549999999999e-11,19076.3
8.922119999999998e-11,18783.0
9.209619999999999e-11,18494.5
9.506439999999999e-11,18210.6
9.81277e-11,17931.3
1.01291e-10,17656.5
1.04554e-10,17386.1
1.07924e-10,17120.1
1.11402e-10,16858.4
1.1499200000000001e-10,16600.9
1.1869700000000001e-10,16347.6
1.22523e-10,16098.4
1.26471e-10,15853.3
1.30547e-10,15612.0
1.34754e-10,15374.8
1.3909700000000002e-10,15141.3
1.43579e-10,14911.8
1.48207e-10,14685.8
1.52982e-10,14463.699999999999
1.57913e-10,14245.099999999999
1.6300100000000001e-10,14030.1
1.68254e-10,13818.6
1.73676e-10,13610.599999999999
1.79274e-10,13405.9
1.8505000000000002e-10,13204.7
1.91014e-10,13006.7
1.97169e-10,12812.1
2.03524e-10,12620.499999999998
2.1008200000000003e-10,12432.2
2.16853e-10,12246.999999999998
2.2384e-10,12064.8
2.31055e-10,11885.6
2.385e-10,11709.5
2.46187e-10,11536.2
2.5412e-10,11365.8
2.6231e-10,11198.2
2.70762e-10,11033.5
2.7948900000000003e-10,10871.4
2.88494e-10,10712.1
2.9779300000000004e-10,10555.5
3.07388e-10,10401.499999999998
3.1729500000000004e-10,10250.0
3.27519e-10,10101.1
3.38075e-10,9954.7
3.4896900000000003e-10,9810.800000000001
3.6021600000000004e-10,9669.29
3.7182300000000004e-10,9530.2
3.83807e-10,9393.44
3.96174e-10,9259.029999999999
4.09807e-10,9118.16
4.2390900000000003e-10,8979.85
4.3849600000000005e-10,8844.05
4.53585e-10,8710.72
4.69194e-10,8579.83
4.85339e-10,8451.33
5.020400000000001e-10,8325.18
5.19316e-10,8201.35
5.371870000000001e-10,8079.789999999999
5.55672e-10,7960.48
5.747930000000001e-10,7843.36
5.94572e-10,7728.41
6.15032e-10,7615.59
6.36196e-10,7504.86
6.58089e-10,7396.19
6.80734e-10,7289.54
7.041590000000001e-10,7184.88
7.2839e-10,7082.18
7.534550000000001e-10,6981.4
7.793820000000001e-10,6882.51
8.062010000000001e-10,6785.48
8.339440000000001e-10,6690.2699999999995
8.62641e-10,6596.849999999999
8.92325e-10,6505.200000000001
9.23031e-10,6415.29
9.54794e-10,6327.07
9.8765e-10,6240.53
1.0216400000000002e-9,6155.62
1.05679e-9,6072.339999999999
1.09316e-9,5990.63
1.1307700000000002e-9,5910.490000000001
1.16969e-9,5831.87
1.2125e-9,5749.98
1.25687e-9,5669.76
1.3028800000000002e-9,5591.160000000001
1.3505600000000001e-9,5514.160000000001
1.4e-9,5438.73
1.4512400000000003e-9,5364.830000000001
1.50436e-9,5292.44
1.55941e-9,5221.53
1.61649e-9,5152.05
1.67565e-9,5084.0
1.7369900000000002e-9,5017.33
1.80056e-9,4952.03
1.86647e-9,4888.05
1.9347700000000003e-9,4825.38
2.0055900000000003e-9,4763.99
2.07899e-9,4703.85
2.15965e-9,4641.5
2.24343e-9,4580.5
2.33047e-9,4520.8
2.42088e-9,4462.4
2.5148000000000005e-9,4405.24
2.61236e-9,4349.31
2.7137e-9,4294.59
2.81898e-9,4241.030000000001
2.9283400000000003e-9,4188.62
3.0419500000000002e-9,4137.330000000001
3.15996e-9,4087.13
3.2825500000000004e-9,4038.0000000000005
3.41713e-9,3987.27
3.5572e-9,3937.69
3.70303e-9,3889.21
3.85482e-9,3841.81
4.01286e-9,3795.47
4.17735e-9,3750.1600000000003
4.34861e-9,3705.86
4.526860000000001e-9,3662.54
4.71245e-9,3620.18
4.916010000000001e-9,3576.6
5.128370000000001e-9,3534.03
5.3499e-9,3492.45
5.5810000000000005e-9,3451.8300000000004
5.8220900000000005e-9,3412.14
6.07359e-9,3373.37
6.335950000000001e-9,3335.5
6.609650000000001e-9,3298.4900000000002
6.90975e-9,3260.5499999999997
7.223510000000001e-9,3223.52
7.55148e-9,3187.37
7.894370000000002e-9,3152.0899999999997
8.25281e-9,3117.66
8.62755e-9,3084.04
9.019270000000001e-9,3051.23
9.44875e-9,3017.69
9.89869e-9,2984.99
1.037e-8,2953.09
1.08639e-8,2921.9900000000002
1.13812e-8,2891.66
1.19231e-8,2862.07
1.25174e-8,2831.92
1.3141099999999999e-8,2802.55
1.37961e-8,2773.94
1.44836e-8,2746.0499999999997
1.52054e-8,2718.88
1.5997e-8,2691.27
1.6829799999999998e-8,2664.4
1.77059e-8,2638.2400000000002
1.86276e-8,2612.7799999999997
1.9597400000000002e-8,2587.9900000000002
2.0661200000000003e-8,2562.8700000000003
2.17828e-8,2538.44
2.2965200000000002e-8,2514.69
2.4212e-8,2491.58
2.52522e-8,2473.65
2.5299999999999998e-8,2472.8599999999997
2.67299e-8,2450.04
2.82406e-8,2427.86
2.98366e-8,2406.33
3.1589700000000004e-8,2384.6
3.34456e-8,2363.52
3.54108e-8,2343.06
3.7570600000000004e-8,2322.48
3.98622e-8,2302.52
4.22936e-8,2283.16
4.4968199999999994e-8,2263.74
4.78121e-8,2244.92
5.0835600000000004e-8,2226.69
5.41649e-8,2208.44
5.77122e-8,2190.77
6.149180000000001e-8,2173.68
6.565780000000001e-8,2156.59
7.01057e-8,2140.0800000000004
7.50136e-8,2123.61
8.026500000000001e-8,2107.7
8.60661e-8,2091.86
9.228600000000001e-8,2076.59
9.916510000000001e-8,2061.41
1.0655699999999998e-7,2046.78
1.1474200000000001e-7,2032.27
1.23556e-7,2018.31
1.3332900000000002e-7,2004.49
1.4387499999999998e-7,1991.19
1.55583e-7,1978.06
1.68601e-7,1965.11
1.82707e-7,1952.6699999999998
1.98413e-7,1940.43
2.15925e-7,1928.3999999999999
2.3498299999999998e-7,1916.8700000000001
2.56264e-7,1905.56
2.80064e-7,1894.48
3.06722e-7,1883.65
3.36628e-7,1873.06
3.70234e-7,1862.74
4.08056e-7,1852.69
4.5069199999999997e-7,1842.93
4.98838e-7,1833.45
5.53297e-7,1824.26
6.149989999999999e-7,1815.37
6.86479e-7,1806.6100000000001
7.67888e-7,1798.17
8.607699999999999e-7,1790.05
9.68977e-7,1782.1100000000001
1.1102799999999999e-6,1773.55
1.37959e-6,1761.0600000000002
1.94449e-6,1743.91
3.10914e-6,1724.73
5.29472e-6,1707.8
9.80736e-6,1693.09
2.0178200000000003e-5,1680.74
4.87745e-5,1670.56
0.000146494,1663.21
0.000229284,1662.1
0.000398743,1667.25
0.000477699,1678.79
0.000522929,1695.59
0.000551751,1717.14
0.0005701870000000001,1740.73
0.000583774,1767.25
0.000594534,1797.4
0.000601707,1824.27
0.00060888,1858.88
0.000616053,1904.24
0.000621433,1947.95
0.000626813,2002.83
0.0006321930000000001,2072.45
0.0006357789999999999,2129.33
0.000639366,2196.5099999999998
0.000642952,2275.9
0.000646539,2369.48
0.000650125,2478.98
0.000653712,2605.2599999999998
0.000657299,2747.2400000000002
0.00066524,3086.69
0.000667802,3185.61
0.000670364,3267.43
0.000672285,3313.0299999999997
0.0006743350000000001,3343.47
0.0006758720000000001,3353.2099999999996
0.0006760000000000001,3353.58
0.0006760000000000001,4294.120000000001
0.0008788000000000001,4293.53
0.0008788000000000001,4292.469999999999
0.000884999,4293.51
0.0675732,4289.34
0.1,3936.07
0.164305,3655.3300000000004
0.201411,3505.98
0.299941,3349.24
0.408505,3269.56
0.514208,3233.24
0.6257550000000001,3220.05
0.7000000000000001,3218.67
0.9,3239.9900000000002
1.26034,3315.03
1.74831,3418.55
2.09292,3469.3900000000003
2.2,3479.96
2.22523,3445.65
2.4,3491.79
2.6,3493.5
2.94091,3474.65
3.32328,3427.5699999999997
3.4,3415.7000000000003
3.48377,3391.1099999999997
3.62539,3375.6400000000003
3.8,3341.32
3.9114,3282.3199999999997
4.0,3299.15
4.04099,3271.0099999999998
4.22211,3249.98
4.6,3163.3399999999997
4.6867,3120.04
4.8,3117.19
5.20974,3021.4500000000003
5.29433,2991.28
5.4,2982.67
5.49153,2957.09
5.6,2940.0400000000004
5.67976,2906.27
5.74335,2893.94
5.8,2898.8
5.9046,2870.97
5.97967,2857.94
6.0,2859.02
6.13355,2828.43
6.22598,2814.21
6.3789,2782.09
6.4,2783.81
6.52334,2754.56
6.6,2748.41
6.64868,2734.51
7.0,2681.4399999999996
7.91004,2545.5800000000004
8.94753,2411.62
10.003200000000001,2294.29
10.1443,2280.43
10.2874,2266.3799999999997
10.4326,2252.13
10.5,2245.5099999999998
10.514399999999998,2244.16
10.662700000000001,2230.89
10.8132,2217.44
10.9657,2203.8
11.0,2200.7400000000002
11.1552,2187.8199999999997
11.2005,2184.05
11.3585,2171.43
11.3988,2168.21
11.416699999999999,2166.82
11.5,2160.39
11.6052,2152.5099999999998
11.7689,2140.85
11.935,2129.03
11.953899999999999,2127.68
12.0,2124.54
12.122399999999999,2114.4599999999996
12.153,2111.97
12.3245,2102.57
12.392000000000001,2098.87
12.5,2093.23
12.676400000000001,2083.7599999999998
12.8552,2074.15
13.0,2066.38
13.1834,2057.74
13.201400000000001,2056.9
13.387599999999999,2048.75
13.5,2043.83
13.5879,2040.3600000000001
13.7796,2033.3899999999999
13.974,2026.3200000000002
14.0,2025.38
14.0357,2024.2300000000002
14.2337,2018.36
14.395,2013.5800000000002
14.403500000000001,2013.35
14.5,2010.76
14.578800000000001,2008.81
14.6354,2007.46
14.7056,2005.83
14.9131,2001.42
15.0,1999.5700000000002
15.2116,1996.21
15.426200000000001,1992.8
15.5,1991.63
15.5046,1991.5700000000002
15.5337,1991.19
15.7529,1988.6399999999999
15.8436,1987.58
15.8972,1987.05
16.0,1986.09
16.2257,1984.51
16.2884,1984.07
16.5,1983.03
16.7328,1982.37
16.8399,1982.07
17.0,1981.91
17.239800000000002,1982.1
17.4831,1982.3
17.5,1982.3200000000002
17.7469,1983.26
17.9973,1984.22
18.0,1984.23
18.2539,1985.67
18.5,1987.06
18.572,1987.5700000000002
18.8155,1989.43
19.0,1990.99
19.0332,1991.26
19.1236,1992.01
19.3934,1994.47
19.5,1995.44
19.775100000000002,1998.25
19.845299999999998,1998.9699999999998
20.0,2000.6499999999999
20.282200000000003,2003.94
20.5683,2007.2700000000002
20.858500000000003,2010.65
21.0,2012.2900000000002
21.296300000000002,2016.16
21.596700000000002,2020.0900000000001
21.9014,2024.07
22.0,2025.35
22.3104,2029.71
22.625099999999996,2034.13
22.944300000000002,2038.61
23.0,2039.4
23.3245,2044.1699999999998
23.653599999999997,2049.02
23.9873,2053.93
24.0,2054.1200000000003
24.3386,2059.23
24.682,2064.41
25.0,2069.21
25.352700000000002,2074.5499999999997
25.7104,2079.98
26.0,2084.37
26.3668,2089.8500000000004
26.7388,2095.4199999999996
27.0,2099.32
27.3809,2104.8300000000004
27.767200000000003,2110.41
28.0,2113.77
28.395000000000003,2119.1800000000003
28.7956,2124.66
29.0,2127.46
29.409100000000002,2132.66
29.824,2137.94
30.0,2140.17
30.4232,2144.77
30.8525,2149.4399999999996
31.0,2151.04
31.437400000000004,2155.49
31.880899999999997,2160.0
32.0,2161.21
32.4515,2165.2999999999997
32.9093,2169.46
33.0,2170.28
33.4656,2173.7000000000003
33.9377,2177.1600000000003
34.0,2177.62
34.4797,2180.55
34.9661,2183.52
35.0,2183.73
35.4938,2185.88
35.9945,2188.06
36.0,2188.08
36.5079,2189.66
37.0,2191.2
37.522000000000006,2191.94
38.0,2192.61
38.536100000000005,2192.7400000000002
39.0,2192.85
39.550200000000004,2192.0899999999997
40.0,2191.46
40.564299999999996,2190.07
41.0,2188.99
41.5784,2186.69
42.0,2185.01
42.5925,2182.08
43.0,2180.06
43.6067,2176.23
44.0,2173.74
44.6208,2169.28
45.0,2166.56
45.6349,2161.21
46.0,2158.13
46.649,2152.18
47.0,2148.96
47.6631,2142.15
48.0,2138.69
48.6772,2131.3
49.0,2127.78
49.6913,2119.57
50.0,2115.91
50.705400000000004,2107.16
51.0,2103.5
51.7195,2093.9700000000003
52.0,2090.25
52.7336,2080.2000000000003
53.0,2076.55
53.747699999999995,2065.78
54.0,2062.15
54.7618,2050.9300000000003
55.0,2047.4199999999998
55.776,2035.51
56.0,2032.07
56.790099999999995,2019.7500000000002
57.0,2016.48
57.8042,2003.52
58.0,2000.3700000000001
58.8183,1987.05
59.0,1984.09
59.83240000000001,1970.2
60.0,1967.4
60.8465,1953.3400000000001
61.0,1950.79
61.860600000000005,1936.1999999999998
62.0,1933.84
62.8747,1918.76
63.0,1916.6000000000001
63.8888,1901.03
64.0,1899.0800000000002
64.9029,1883.06
65.0,1881.34
65.917,1865.42
66.0,1863.98
66.9311,1847.6699999999998
67.0,1846.46
67.9453,1829.76
68.0,1828.79
68.9594,1811.72
69.0,1811.0
69.9735,1793.58
70.0,1793.11
70.9876,1775.8899999999999
71.0,1775.67
72.0,1758.17
73.0,1740.6399999999999
74.0,1723.09
75.0,1705.68
76.0,1688.6000000000001
77.0,1671.6899999999998
78.0,1654.69
79.0,1637.89
80.0,1621.03
81.0,1604.8
82.0,1588.8
83.0,1572.76
84.0,1556.97
85.0,1541.15
86.0,1525.59
87.0,1510.02
88.0,1494.7299999999998
89.0,1479.4199999999998
90.0,1464.26
91.0,1449.97
92.0,1435.6899999999998
93.0,1421.7
94.0,1407.72
95.0,1393.89
96.0,1380.3600000000001
97.0,1366.8400000000001
98.0,1353.63
99.0,1340.43
100.0,1327.54
101.411,1310.12
102.0,1302.8500000000001
103.439,1285.6499999999999
104.0,1278.94
105.467,1261.8700000000001
106.0,1255.67
107.495,1238.75
108.0,1233.04
109.524,1216.1599999999999
110.00000000000001,1210.8799999999999
111.552,1194.82
112.00000000000001,1190.18
113.58,1174.31
113.99999999999999,1170.0900000000001
115.608,1154.42
115.99999999999999,1150.6000000000001
117.63699999999999,1135.0
118.0,1131.54
119.66499999999999,1116.27
120.0,1113.2
121.69300000000001,1098.6100000000001
122.0,1095.96
123.72099999999999,1081.5900000000001
124.0,1079.2600000000002
125.749,1064.99
126.0,1062.95
127.77799999999999,1049.03
128.0,1047.29
129.806,1033.6000000000001
130.0,1032.1299999999999
131.834,1018.9399999999999
132.0,1017.7499999999999
133.862,1004.9300000000001
134.0,1003.9800000000001
135.89100000000002,991.386
136.0,990.6560000000001
137.91899999999998,978.299
138.0,977.775
139.947,965.5210000000001
140.0,965.187
141.975,953.6390000000001
142.0,953.494
144.0,942.2
146.0,931.1590000000001
148.0,920.6250000000001
150.0,910.4530000000001
152.0,900.781
154.0,891.576
156.0,882.6969999999999
158.0,874.009
160.0,865.7550000000001
162.0,857.985
164.0,850.628
166.0,843.548
168.0,836.6139999999999
170.0,830.064
172.0,823.7640000000001
174.0,817.589
176.0,811.772
