E(MeV),xs(mb)
1.0e-11,242044.00000000003
1.03223e-11,238246.0
1.06549e-11,234510.0
1.0998399999999998e-11,230831.0
1.13527e-11,227211.0
1.1718599999999999e-11,223647.99999999997
1.2096199999999998e-11,220142.00000000003
1.24861e-11,216690.0
1.2888399999999999e-11,213293.0
1.3303799999999998e-11,209950.0
1.37325e-11,206660.00000000003
1.41751e-11,203420.99999999997
1.4631799999999997e-11,200233.99999999997
1.51034e-11,197096.0
1.5590099999999998e-11,194010.0
1.6092599999999998e-11,190970.0
1.66111e-11,187980.0
1.71465e-11,185037.0
1.7699e-11,182140.0
1.8269399999999998e-11,179289.0
1.88581e-11,176483.0
1.94659e-11,173722.0
2.00931e-11,171004.0
2.0740699999999998e-11,168329.0
2.1408999999999998e-11,165697.0
2.2099099999999997e-11,163106.0
2.28111e-11,160556.0
2.3546399999999998e-11,158047.0
2.4305099999999997e-11,155577.0
2.50884e-11,153146.0
2.5896799999999997e-11,150755.0
2.67315e-11,148400.0
2.75928e-11,146084.0
2.8482199999999998e-11,143803.0
2.93999e-11,141560.0
3.0347499999999995e-11,139351.0
3.13253e-11,137178.0
3.2335e-11,135039.0
3.33769e-11,132934.0
3.44526e-11,130863.0
3.55627e-11,128824.99999999999
3.67089e-11,126818.00000000001
3.7891799999999997e-11,124844.0
3.9113e-11,122901.0
4.0373400000000003e-11,120988.99999999999
4.1674599999999996e-11,119107.99999999999
4.3017399999999996e-11,117256.0
4.440389999999999e-11,115433.99999999999
4.58347e-11,113640.99999999999
4.7311899999999994e-11,111876.0
4.883639999999999e-11,110140.0
5.0410399999999995e-11,108431.00000000001
5.20348e-11,106749.99999999999
5.37119e-11,105095.0
5.54426e-11,103467.0
5.7229499999999995e-11,101864.0
5.907359999999999e-11,100288.0
6.09775e-11,98735.9
6.29424e-11,97209.29999999999
6.497099999999999e-11,95706.90000000001
6.70645e-11,94228.79999999999
6.9226e-11,92774.09999999999
7.145659999999999e-11,91343.0
7.37596e-11,89934.5
7.61364e-11,88548.9
7.85902e-11,87185.2
8.11227e-11,85843.7
8.37372e-11,84523.49999999999
8.643549999999999e-11,83224.7
8.922119999999998e-11,81946.6
9.209619999999999e-11,80689.3
9.506439999999999e-11,79452.0
9.81277e-11,78234.8
1.01291e-10,77036.9
1.04554e-10,75858.9
1.07924e-10,74699.3
1.11402e-10,73558.9
1.1499200000000001e-10,72436.6
1.1869700000000001e-10,71332.8
1.22523e-10,70246.4
1.26471e-10,69178.1
1.30547e-10,68126.6
1.34754e-10,67092.7
1.3909700000000002e-10,66075.1
1.43579e-10,65074.4
1.48207e-10,64089.600000000006
1.52982e-10,63121.200000000004
1.57913e-10,62168.200000000004
1.6300100000000001e-10,61231.1
1.68254e-10,60309.0
1.73676e-10,59402.2
1.79274e-10,58509.9
1.8505000000000002e-10,57632.5
1.91014e-10,56769.2
1.97169e-10,55920.3
2.03524e-10,55085.100000000006
2.1008200000000003e-10,54263.8
2.16853e-10,53455.8
2.2384e-10,52661.2
2.31055e-10,51879.600000000006
2.385e-10,51111.00000000001
2.46187e-10,50354.9
2.5412e-10,49611.4
2.6231e-10,48880.100000000006
2.70762e-10,48160.99999999999
2.7948900000000003e-10,47453.6
2.88494e-10,46758.2
2.9779300000000004e-10,46074.0
3.07388e-10,45401.4
3.1729500000000004e-10,44739.899999999994
3.27519e-10,44089.4
3.38075e-10,43449.600000000006
3.4896900000000003e-10,42820.7
3.6021600000000004e-10,42202.1
3.7182300000000004e-10,41593.9
3.83807e-10,40995.7
3.97014e-10,40368.8
4.1067600000000004e-10,39753.0
4.24808e-10,39148.200000000004
4.39426e-10,38554.3
4.54547e-10,37970.9
4.70189e-10,37398.0
4.863679999999999e-10,36835.3
5.03105e-10,36282.700000000004
5.20417e-10,35740.0
