E(MeV),xs(mb)
1.0e-11,4.9523e6
1.03223e-11,4.87439e6
1.06549e-11,4.79774e6
1.0998399999999998e-11,4.72227e6
1.13527e-11,4.64802e6
1.1718599999999999e-11,4.5749e6
1.2096199999999998e-11,4.50296e6
1.24861e-11,4.43213e6
1.2888399999999999e-11,4.36244e6
1.3303799999999998e-11,4.29382e6
1.37325e-11,4.22631e6
1.41751e-11,4.1598300000000005e6
1.4631799999999997e-11,4.09443e6
1.51034e-11,4.03003e6
1.5590099999999998e-11,3.96666e6
1.6092599999999998e-11,3.90428e6
1.66111e-11,3.84289e6
1.71465e-11,3.78245e6
1.7699e-11,3.72299e6
1.8269399999999998e-11,3.66444e6
1.88581e-11,3.60683e6
1.94659e-11,3.55011e6
2.00931e-11,3.4943e6
2.0740699999999998e-11,3.43935e6
2.1408999999999998e-11,3.38528e6
2.2099099999999997e-11,3.33205e6
2.28111e-11,3.27967e6
2.3546399999999998e-11,3.22811e6
2.4305099999999997e-11,3.17736e6
2.50884e-11,3.12741e6
2.5896799999999997e-11,3.07825e6
2.67315e-11,3.02985e6
2.75928e-11,2.98223e6
2.8482199999999998e-11,2.93535e6
2.93999e-11,2.88922e6
3.0347499999999995e-11,2.8438e6
3.13253e-11,2.79911e6
3.2335e-11,2.75511e6
3.33769e-11,2.71181e6
3.44526e-11,2.66919e6
3.55627e-11,2.62725e6
3.67089e-11,2.58596e6
3.7891799999999997e-11,2.54533e6
3.9113e-11,2.50533e6
4.0373400000000003e-11,2.46596e6
4.1674599999999996e-11,2.42721e6
4.3017399999999996e-11,2.38908e6
4.440389999999999e-11,2.35154e6
4.58347e-11,2.3146e6
4.7311899999999994e-11,2.27824e6
4.883639999999999e-11,2.24245e6
5.0410399999999995e-11,2.20723e6
5.20348e-11,2.17256e6
5.37119e-11,2.13843e6
5.54426e-11,2.10485e6
5.7229499999999995e-11,2.07179e6
5.907359999999999e-11,2.03926e6
6.09775e-11,2.0072299999999998e6
6.29424e-11,1.97572e6
6.497099999999999e-11,1.94469e6
6.70645e-11,1.91416e6
6.9226e-11,1.88411e6
7.145659999999999e-11,1.85454e6
7.37596e-11,1.82542e6
7.61364e-11,1.79677e6
7.85902e-11,1.76857e6
8.11227e-11,1.74082e6
8.37372e-11,1.71349e6
8.643549999999999e-11,1.68661e6
8.922119999999998e-11,1.66014e6
9.209619999999999e-11,1.6341e6
9.506439999999999e-11,1.60846e6
9.81277e-11,1.58323e6
1.01291e-10,1.55839e6
1.04554e-10,1.53396e6
1.07924e-10,1.50989e6
1.11402e-10,1.48622e6
1.1499200000000001e-10,1.46291e6
1.1869700000000001e-10,1.43998e6
1.22523e-10,1.4174e6
1.26471e-10,1.39519e6
1.30547e-10,1.37332e6
1.34754e-10,1.3518e6
1.3909700000000002e-10,1.33061e6
1.43579e-10,1.30977e6
1.48207e-10,1.28924e6
1.52982e-10,1.26905e6
1.57913e-10,1.24917e6
1.6300100000000001e-10,1.22961e6
1.68254e-10,1.21035e6
1.73676e-10,1.1914e6
1.79274e-10,1.17275e6
1.8505000000000002e-10,1.15439e6
1.91014e-10,1.13632e6
1.97169e-10,1.11854e6
2.03524e-10,1.10104e6
2.1008200000000003e-10,1.08381e6
2.16853e-10,1.06686e6
2.2384e-10,1.05017e6
2.31055e-10,1.03375e6
2.385e-10,1.01759e6
2.46187e-10,1.0016799999999999e6
2.5412e-10,986020.0000000001
2.6231e-10,970607.0
2.70762e-10,955442.0
2.7948900000000003e-10,940513.0
2.88494e-10,925822.0
2.9779300000000004e-10,911361.0
3.07388e-10,897131.0000000001
3.1729500000000004e-10,883122.0
3.27519e-10,869337.0
3.38075e-10,855767.0
3.4896900000000003e-10,842414.9999999999
3.6021600000000004e-10,829270.0
3.7182300000000004e-10,816336.0000000001
3.83807e-10,803603.0
3.96174e-10,791073.0
4.08943e-10,778739.0
4.2212e-10,766602.0
4.3572499999999996e-10,754655.0
4.4976500000000005e-10,742898.0
4.6426100000000007e-10,731324.0
4.79221e-10,719936.0
4.94666e-10,708725.0
5.10605e-10,697693.0
5.270620000000001e-10,686834.0
5.440450000000001e-10,676147.0
5.6158e-10,665628.0
5.796750000000001e-10,655276.0
5.98358e-10,645086.0
6.176389999999999e-10,635058.0
6.37545e-10,625187.0
6.58089e-10,615474.0
6.79298e-10,605912.0
7.01188e-10,596503.0
7.237860000000001e-10,587240.0
7.47109e-10,578126.0
7.71188e-10,569153.0
7.960380000000001e-10,560324.0
8.21693e-10,551633.0
8.48171e-10,543080.0
8.75507e-10,534661.0
9.037190000000002e-10,526376.0
9.32845e-10,518220.0
9.62904e-10,510195.00000000006
9.93937e-10,502294.0
1.0259700000000001e-9,494520.0
1.05903e-9,486867.0
1.09316e-9,479336.0
1.12839e-9,471922.99999999994
1.16475e-9,464628.0
1.2022900000000002e-9,457447.0
1.2410300000000002e-9,450380.0
1.28103e-9,443423.00000000006
1.3223100000000002e-9,436578.0
1.36492e-9,429839.00000000006
1.4089000000000002e-9,423208.0
1.4543100000000001e-9,416680.0
1.5011699999999999e-9,410257.0
1.5495600000000002e-9,403934.0
1.5994900000000002e-9,397711.0
1.6510400000000001e-9,391586.0
1.7042400000000001e-9,385558.0
1.75917e-9,379625.0
1.81585e-9,373786.0
1.87438e-9,368038.0
1.9347700000000003e-9,362382.0
1.99713e-9,356814.0
2.06148e-9,351335.0
2.1279200000000002e-9,345942.0
2.19649e-9,340634.0
2.26728e-9,335410.0
2.3403400000000002e-9,330268.0
2.4157700000000002e-9,325208.0
2.49362e-9,320227.0
2.5739800000000002e-9,315325.0
2.65692e-9,310501.0
2.7425500000000002e-9,305752.0
2.8309300000000003e-9,301079.0
2.92217e-9,296479.0
3.01633e-9,291952.0
3.11354e-9,287496.0
3.21387e-9,283111.0
3.3174500000000004e-9,278794.0
3.42435e-9,274547.0
3.53471e-9,270365.0
3.6486100000000003e-9,266251.0
3.7662000000000005e-9,262200.0
