E(MeV),xs(mb)
1.0e-11,1.93699e8
1.03223e-11,1.9065e8
1.06549e-11,1.87651e8
1.0998399999999998e-11,1.84698e8
1.13527e-11,1.81793e8
1.1718599999999999e-11,1.78932e8
1.2096199999999998e-11,1.76117e8
1.24861e-11,1.73346e8
1.2888399999999999e-11,1.70619e8
1.3303799999999998e-11,1.67934e8
1.37325e-11,1.65292e8
1.41751e-11,1.62691e8
1.4631799999999997e-11,1.60132e8
1.51034e-11,1.57612e8
1.5590099999999998e-11,1.55132e8
1.6092599999999998e-11,1.52691e8
1.66111e-11,1.50289e8
1.71465e-11,1.47924e8
1.7699e-11,1.45597e8
1.8269399999999998e-11,1.43306e8
1.88581e-11,1.41052e8
1.94659e-11,1.38832e8
2.00931e-11,1.36648e8
2.0740699999999998e-11,1.34498e8
2.1408999999999998e-11,1.32382e8
2.2099099999999997e-11,1.3029900000000001e8
2.28111e-11,1.2824899999999999e8
2.3546399999999998e-11,1.26231e8
2.4305099999999997e-11,1.24245e8
2.50884e-11,1.2229000000000001e8
2.5896799999999997e-11,1.20366e8
2.67315e-11,1.18472e8
2.75928e-11,1.16608e8
2.8482199999999998e-11,1.1477299999999999e8
2.93999e-11,1.12968e8
3.0347499999999995e-11,1.1119000000000001e8
3.13253e-11,1.0944100000000001e8
3.2335e-11,1.0771900000000001e8
3.33769e-11,1.06024e8
3.44526e-11,1.04356e8
3.55627e-11,1.02714e8
3.67089e-11,1.01098e8
3.7891799999999997e-11,9.95073e7
3.9113e-11,9.79416e7
4.0373400000000003e-11,9.64007e7
4.1674599999999996e-11,9.48838e7
4.3017399999999996e-11,9.33911e7
4.440389999999999e-11,9.19216e7
4.58347e-11,9.04755e7
4.7311899999999994e-11,8.90518e7
4.883639999999999e-11,8.76508e7
5.0410399999999995e-11,8.62716e7
5.20348e-11,8.491440000000001e7
5.37119e-11,8.35783e7
5.54426e-11,8.22634e7
5.7229499999999995e-11,8.0969e7
5.907359999999999e-11,7.96952e7
6.09775e-11,7.84411e7
6.29424e-11,7.72071e7
6.497099999999999e-11,7.59922e7
6.70645e-11,7.47967e7
6.9226e-11,7.36198e7
7.145659999999999e-11,7.24616e7
7.37596e-11,7.13214e7
7.61364e-11,7.01994e7
7.85902e-11,6.90948e7
8.11227e-11,6.80078e7
8.37372e-11,6.69377e7
8.643549999999999e-11,6.588460000000001e7
8.922119999999998e-11,6.48479e7
9.209619999999999e-11,6.38277e7
9.506439999999999e-11,6.282339999999999e7
9.81277e-11,6.183500000000001e7
1.01291e-10,6.08619e7
1.04554e-10,5.99046e7
1.07924e-10,5.89619e7
1.11402e-10,5.80344e7
1.1499200000000001e-10,5.71211e7
1.1869700000000001e-10,5.62226e7
1.22523e-10,5.53378e7
1.26471e-10,5.44674e7
1.30547e-10,5.36102e7
1.34754e-10,5.27669e7
1.3909700000000002e-10,5.193660000000001e7
1.43579e-10,5.11196e7
1.48207e-10,5.031520000000001e7
1.52982e-10,4.95237e7
1.57913e-10,4.87444e7
1.6300100000000001e-10,4.79776e7
1.68254e-10,4.72226e7
1.73676e-10,4.647979999999999e7
1.79274e-10,4.57484e7
1.8505000000000002e-10,4.50287e7
1.91014e-10,4.432019999999999e7
1.97169e-10,4.3623e7
2.03524e-10,4.293650000000001e7
2.1008200000000003e-10,4.22611e7
2.16853e-10,4.15961e7
2.2384e-10,4.09418e7
2.31055e-10,4.02975e7
2.385e-10,3.96636e7
2.46187e-10,3.90395e7
2.5412e-10,3.84254e7
2.6231e-10,3.78207e7
2.70762e-10,3.72258e7
2.7948900000000003e-10,3.664e7
2.88494e-10,3.60636e7
2.9779300000000004e-10,3.54962e7
3.07388e-10,3.49378e7
3.1729500000000004e-10,3.43881e7
3.27519e-10,3.38471e7
3.38075e-10,3.3314499999999996e7
3.4896900000000003e-10,3.2790499999999996e7
3.6021600000000004e-10,3.22745e7
3.7182300000000004e-10,3.17668e7
3.83807e-10,3.1267e7
3.96174e-10,3.0775100000000004e7
4.08943e-10,3.02909e7
4.2212e-10,2.98144e7
4.3572499999999996e-10,2.93453e7
4.4976500000000005e-10,2.88836e7
4.6426100000000007e-10,2.84292e7
4.79221e-10,2.7982e7
4.94666e-10,2.7541699999999996e7
5.10605e-10,2.71084e7
5.270620000000001e-10,2.66819e7
5.440450000000001e-10,2.62622e7
5.6158e-10,2.5849000000000004e7
5.796750000000001e-10,2.54424e7
5.98358e-10,2.5042e7
6.176389999999999e-10,2.46481e7
6.37545e-10,2.42603e7
6.58089e-10,2.38787e7
6.79298e-10,2.3503e7
7.01188e-10,2.31333e7
7.237860000000001e-10,2.27693e7
7.47109e-10,2.24111e7
7.71188e-10,2.20585e7
7.960380000000001e-10,2.17115e7
8.21693e-10,2.13699e7
8.48171e-10,2.10338e7
8.75507e-10,2.07029e7
9.037190000000002e-10,2.0377200000000004e7
9.32845e-10,2.0056600000000004e7
9.62904e-10,1.97411e7
9.93937e-10,1.94305e7
1.0259700000000001e-9,1.91249e7
1.05903e-9,1.8824e7
1.09316e-9,1.85279e7
1.12839e-9,1.82364e7
1.16475e-9,1.79495e7
1.2022900000000002e-9,1.76671e7
1.2410300000000002e-9,1.73892e7
1.28103e-9,1.71156e7
1.3223100000000002e-9,1.68464e7
1.36492e-9,1.65814e7
1.4089000000000002e-9,1.63205e7
1.4543100000000001e-9,1.60638e7
1.5011699999999999e-9,1.58111e7
1.5495600000000002e-9,1.55624e7
1.5994900000000002e-9,1.53176e7
1.6510400000000001e-9,1.50766e7
1.7042400000000001e-9,1.48394e7
1.75917e-9,1.4605999999999998e7
1.81585e-9,1.4376199999999998e7
1.87438e-9,1.4150100000000002e7
1.9347700000000003e-9,1.39275e7
1.99713e-9,1.37084e7
2.06148e-9,1.34927e7
2.1279200000000002e-9,1.32805e7
2.19649e-9,1.3071600000000002e7
2.26728e-9,1.2865899999999998e7
