E(MeV),xs(mb)
1.0e-11,213147.99999999997
1.03223e-11,209811.0
1.06549e-11,206528.0
1.0998399999999998e-11,203295.0
1.13527e-11,200115.0
1.1718599999999999e-11,196983.0
1.2096199999999998e-11,193903.0
1.24861e-11,190870.0
1.2888399999999999e-11,187886.0
1.3303799999999998e-11,184949.0
1.37325e-11,182059.0
1.41751e-11,179213.0
1.4631799999999997e-11,176414.0
1.51034e-11,173658.0
1.5590099999999998e-11,170947.0
1.6092599999999998e-11,168278.0
1.66111e-11,165652.0
1.71465e-11,163067.0
1.7699e-11,160523.0
1.8269399999999998e-11,158020.0
1.88581e-11,155556.0
1.94659e-11,153132.0
2.00931e-11,150746.0
2.0740699999999998e-11,148397.0
2.1408999999999998e-11,146087.0
2.2099099999999997e-11,143812.0
2.28111e-11,141575.0
2.3546399999999998e-11,139372.0
2.4305099999999997e-11,137205.0
2.50884e-11,135072.0
2.5896799999999997e-11,132973.0
2.67315e-11,130908.0
2.75928e-11,128875.0
2.8482199999999998e-11,126875.0
2.93999e-11,124906.99999999999
3.0347499999999995e-11,122970.0
3.13253e-11,121064.0
3.2335e-11,119188.0
3.33769e-11,117343.0
3.44526e-11,115526.0
3.55627e-11,113738.99999999999
3.67089e-11,111981.0
3.7891799999999997e-11,110250.0
3.9113e-11,108547.0
4.0373400000000003e-11,106871.99999999999
4.1674599999999996e-11,105223.0
4.3017399999999996e-11,103601.00000000001
4.440389999999999e-11,102004.99999999999
4.58347e-11,100434.0
4.7311899999999994e-11,98888.59999999999
4.883639999999999e-11,97368.2
5.0410399999999995e-11,95871.9
5.20348e-11,94399.9
5.37119e-11,92951.3
5.54426e-11,91526.4
5.7229499999999995e-11,90124.09999999999
5.907359999999999e-11,88744.59999999999
6.09775e-11,87387.20000000001
6.29424e-11,86051.90000000001
6.497099999999999e-11,84737.9
6.70645e-11,83445.40000000001
6.9226e-11,82173.59999999999
7.145659999999999e-11,80922.5
7.37596e-11,79691.5
7.61364e-11,78480.7
7.85902e-11,77289.3
8.11227e-11,76117.40000000001
8.37372e-11,74964.4
8.643549999999999e-11,73830.3
8.922119999999998e-11,72714.4
9.209619999999999e-11,71616.9
9.506439999999999e-11,70537.09999999999
9.81277e-11,69475.1
1.01291e-10,68430.09999999999
1.04554e-10,67402.6
1.07924e-10,66391.5
1.11402e-10,65397.299999999996
1.1499200000000001e-10,64419.00000000001
1.1869700000000001e-10,63457.100000000006
1.22523e-10,62510.6
1.26471e-10,61580.1
1.30547e-10,60664.4
1.34754e-10,59764.2
1.3909700000000002e-10,58878.399999999994
