E(MeV),xs(mb)
1.0e-11,286745.0
1.03223e-11,282245.0
1.06549e-11,277817.0
1.0998399999999998e-11,273457.0
1.13527e-11,269168.0
1.1718599999999999e-11,264945.0
1.2096199999999998e-11,260790.0
1.24861e-11,256699.0
1.2888399999999999e-11,252674.00000000003
1.3303799999999998e-11,248711.0
1.37325e-11,244811.99999999997
1.41751e-11,240974.00000000003
1.4631799999999997e-11,237197.0
1.51034e-11,233479.0
1.5590099999999998e-11,229821.0
1.6092599999999998e-11,226219.0
1.66111e-11,222675.0
1.71465e-11,219187.00000000003
1.7699e-11,215754.0
1.8269399999999998e-11,212374.99999999997
1.88581e-11,209050.0
1.94659e-11,205776.0
2.00931e-11,202556.0
2.0740699999999998e-11,199385.0
2.1408999999999998e-11,196266.0
2.2099099999999997e-11,193195.0
2.28111e-11,190173.0
2.3546399999999998e-11,187198.0
2.4305099999999997e-11,184272.0
2.50884e-11,181391.0
2.5896799999999997e-11,178556.0
2.67315e-11,175765.0
2.75928e-11,173019.0
2.8482199999999998e-11,170317.0
2.93999e-11,167657.0
3.0347499999999995e-11,165039.0
3.13253e-11,162464.0
3.2335e-11,159928.0
3.33769e-11,157433.0
3.44526e-11,154978.0
3.55627e-11,152562.0
3.67089e-11,150183.0
3.7891799999999997e-11,147843.0
3.9113e-11,145540.0
4.0373400000000003e-11,143274.0
4.1674599999999996e-11,141043.0
4.3017399999999996e-11,138849.0
4.440389999999999e-11,136688.0
4.58347e-11,134563.0
4.7311899999999994e-11,132471.0
4.883639999999999e-11,130413.0
5.0410399999999995e-11,128387.0
5.20348e-11,126393.0
5.37119e-11,124432.00000000001
5.54426e-11,122502.0
5.7229499999999995e-11,120602.00000000001
5.907359999999999e-11,118733.0
6.09775e-11,116893.0
6.29424e-11,115084.00000000001
6.497099999999999e-11,113301.99999999999
6.70645e-11,111550.0
6.9226e-11,109825.0
7.145659999999999e-11,108129.00000000001
7.37596e-11,106458.99999999999
7.61364e-11,104816.0
7.85902e-11,103199.0
8.11227e-11,101609.0
8.37372e-11,100044.0
8.643549999999999e-11,98504.1
8.922119999999998e-11,96988.90000000001
9.209619999999999e-11,95498.3
9.506439999999999e-11,94031.40000000001
9.81277e-11,92588.5
1.01291e-10,91168.4
1.04554e-10,89771.8
1.07924e-10,88397.2
1.11402e-10,87045.4
1.1499200000000001e-10,85714.90000000001
1.1869700000000001e-10,84406.59999999999
1.22523e-10,83118.9
1.26471e-10,81852.59999999999
1.30547e-10,80606.4
1.34754e-10,79380.9
1.3909700000000002e-10,78174.90000000001
1.43579e-10,76989.0
1.48207e-10,75822.0
1.52982e-10,74674.5
1.57913e-10,73545.4
1.6300100000000001e-10,72435.09999999999
1.68254e-10,71342.7
1.73676e-10,70268.5
1.79274e-10,69211.6
1.8505000000000002e-10,68172.5
1.91014e-10,67150.2
1.97169e-10,66145.0
2.03524e-10,65156.200000000004
2.1008200000000003e-10,64183.899999999994
2.16853e-10,63227.6
2.2384e-10,62287.4
2.31055e-10,61362.50000000001
2.385e-10,60453.299999999996
2.46187e-10,59559.0
2.5412e-10,58680.0
2.6231e-10,57815.399999999994
2.70762e-10,56965.5
2.7948900000000003e-10,56129.7
2.88494e-10,55308.200000000004
2.9779300000000004e-10,54500.3
3.07388e-10,53706.4
3.1729500000000004e-10,52925.6
3.27519e-10,52158.4
3.38075e-10,51404.0
3.4896900000000003e-10,50662.6
3.6021600000000004e-10,49933.8
3.7182300000000004e-10,49217.6
3.83807e-10,48513.6
3.96174e-10,47821.9
4.08943e-10,47142.0
4.23015e-10,46429.799999999996
4.37571e-10,45730.899999999994
4.5262900000000006e-10,45044.899999999994
4.68204e-10,44371.7
4.84316e-10,43711.1
5.009820000000001e-10,43062.899999999994
5.182210000000001e-10,42427.0
5.360540000000001e-10,41803.0
5.545e-10,41190.9
5.73581e-10,40590.5
5.933180000000001e-10,40001.5
6.13735e-10,39423.9
6.34854e-10,38857.4
6.56701e-10,38301.799999999996
6.79298e-10,37757.1
7.02674e-10,37223.0
7.26854e-10,36699.299999999996
7.51866e-10,36186.0
7.77738e-10,35682.9
8.04501e-10,35189.7
8.32185e-10,34706.4
8.60821e-10,34232.8
8.90443e-10,33768.799999999996
9.210839999999999e-10,33314.2
9.527799999999999e-10,32868.8
9.855660000000001e-10,32432.699999999997
1.01948e-9,32005.499999999996
1.05456e-9,31587.100000000002
1.0908500000000002e-9,31177.5
1.12839e-9,30776.500000000004
1.16969e-9,30359.8
1.2125e-9,29952.399999999998
1.25687e-9,29554.3
1.3028800000000002e-9,29165.3
1.3505600000000001e-9,28785.3
1.4e-9,28414.0
1.4512400000000003e-9,28051.499999999996
1.50436e-9,27697.5
1.55941e-9,27351.899999999998
1.61649e-9,27014.5
1.67565e-9,26685.3
1.7369900000000002e-9,26364.100000000002
1.80056e-9,26050.7
1.86647e-9,25745.0
1.9388700000000004e-9,25429.7
2.01409e-9,25122.7
2.09223e-9,24823.9
2.1734e-9,24533.2
2.25772e-9,24250.5
2.3453e-9,23975.399999999998
2.43629e-9,23708.0
2.53081e-9,23448.1
2.62899e-9,23195.600000000002
2.73675e-9,22936.800000000003
2.84895e-9,22685.8
2.9657300000000003e-9,22442.600000000002
3.0873200000000005e-9,22206.899999999998
3.21387e-9,21978.5
3.34563e-9,21757.399999999998
3.49015e-9,21532.2
3.6409200000000003e-9,21314.600000000002
3.7981900000000005e-9,21104.5
3.96227e-9,20901.6
4.13343e-9,20705.8
4.321100000000001e-9,20507.7
4.51731e-9,20316.9
4.72241e-9,20133.3
4.93685e-9,19956.7
5.17193e-9,19778.899999999998
5.418210000000001e-9,19608.399999999998
5.6762200000000005e-9,19444.8
5.9590800000000005e-9,19281.0
6.256080000000001e-9,19124.3
6.567840000000001e-9,18974.5
6.90975e-9,18825.2
7.26946e-9,18682.9
7.6641e-9,18541.7
8.08013e-9,18407.5
8.53679e-9,18274.8
9.019270000000001e-9,18149.1
9.549200000000001e-9,18025.4
1.0131600000000001e-8,17904.100000000002
1.07496e-8,17789.7
1.1429400000000001e-8,17678.100000000002
1.21779e-8,17569.399999999998
1.3003e-8,17464.1
1.39133e-8,17362.4
1.4918800000000002e-8,17264.3
1.6030800000000002e-8,17170.2
1.72623e-8,17080.2
1.86276e-8,16994.2
2.01862e-8,16910.3
2.1921400000000003e-8,16830.9
2.39067e-8,16754.100000000002
2.52522e-8,16709.0
2.5299999999999998e-8,16707.5
2.77669e-8,16636.4
3.06034e-8,16568.8
3.38727e-8,16504.9
3.7729800000000003e-8,16443.8
4.2204199999999996e-8,16386.9
4.7509600000000005e-8,16333.3
5.3936300000000004e-8,16282.5
6.175239999999999e-8,16234.900000000001
7.13017e-8,16191.0
8.33789e-8,16149.800000000001
9.874660000000001e-8,16112.0
1.1869099999999999e-7,16077.5
1.45404e-7,16046.1
1.8232099999999998e-7,16017.9
2.3498299999999998e-7,15993.0
3.1460400000000003e-7,15971.2
4.42197e-7,15952.5
6.67864e-7,15936.999999999998
1.1181099999999998e-6,15924.8
9.304460000000001e-5,15906.9
0.012810299999999998,16057.999999999998
0.0179593,16072.900000000001
0.0329254,16007.800000000001
0.055734500000000006,15750.0
0.095112,15134.2
0.202413,13311.699999999999
0.266221,12323.800000000001
0.32841000000000004,11454.7
0.389734,10684.199999999999
0.449968,10003.9
0.5167860000000001,9326.359999999999
0.580561,8750.1
0.6432150000000001,8241.12
0.715346,7723.09
0.784108,7290.7
0.8484680000000001,6936.79
0.9046730000000001,6669.240000000001
0.955473,6456.76
1.006,6274.25
1.05653,6120.2
1.10706,5994.11
1.15759,5895.18
1.20813,5822.129999999999
1.25866,5773.09
1.31842,5742.740000000001
1.36571,5734.58
1.48139,5764.929999999999
1.6629,5837.58
1.73942,5846.93
1.83908,5823.2
1.93873,5759.12
2.06081,5633.56
2.21368,5425.3
2.74449,4593.49
2.9599,4284.23
3.18011,3999.8
3.41806,3726.93
3.63528,3505.9300000000003
3.84777,3313.97
4.08888,3118.2400000000002
4.09219,3113.19
4.09227,3103.06
4.09233,3079.94
4.09236,3049.68
4.0924,3001.23
4.09243,2949.6000000000004
4.09246,2882.77
4.09249,2799.6
4.09252,2700.38
4.09254,2626.05
4.09258,2461.63
4.09266,2106.49
4.09268,1993.93
4.09271,1890.28
4.09274,1797.9
4.09276,1718.24
4.09279,1651.77
4.09281,1598.11
4.09284,1556.1799999999998
4.09287,1524.48
4.09289,1501.29
4.09293,1478.71
4.09297,1466.2
4.09304,1457.4499999999998
4.09325,1454.45
4.09335,1454.45
4.6978,1506.14
5.23668,1542.3100000000002
5.8,1568.9299999999998
6.4,1585.68
6.55858,1514.95
6.6,1588.95
6.8,1591.46
6.8942,1577.03
7.0,1593.0200000000002
7.4,1593.8600000000001
8.0,1590.68
8.11348,1569.75
8.30171,1553.15
8.5,1585.19
10.0,1560.5
10.141100000000002,1554.44
10.203800000000001,1551.74
10.3478,1551.39
10.493699999999999,1551.02
10.5,1551.01
10.523,1549.3300000000002
10.6715,1546.83
10.822000000000001,1544.3
10.974699999999999,1541.72
11.0,1541.3
11.1552,1533.99
11.1724,1533.18
11.33,1532.3700000000001
11.489899999999999,1531.55
11.5,1531.5
11.6347,1525.94
11.7988,1524.0800000000002
11.821,1523.82
11.9878,1521.82
12.0,1521.67
12.1693,1515.6799999999998
12.341,1509.6000000000001
12.3612,1508.89
12.5,1511.86
12.676400000000001,1507.83
12.8552,1503.74
12.9446,1501.7
13.0,1502.07
13.131699999999999,1499.18
13.317,1495.71
13.5,1492.3
13.6905,1488.57
13.883600000000001,1484.79
14.0,1482.51
14.197500000000002,1477.1499999999999
14.3645,1472.6200000000001
14.5,1472.6999999999998
14.704600000000001,1468.6699999999998
14.912,1464.5900000000001
14.9911,1463.03
15.0,1462.85
15.2116,1457.2
15.2451,1456.3
15.4602,1452.41
15.5,1451.6899999999998
15.718700000000002,1447.6
15.940399999999999,1443.4499999999998
16.0,1442.34
16.1587,1438.5
16.3867,1432.9
16.5,1430.1200000000001
16.7328,1424.32
16.7496,1423.8999999999999
16.8412,1421.6899999999998
17.0,1417.84
17.239800000000002,1411.22
17.4831,1404.51
17.5,1404.04
17.7469,1397.1100000000001
17.8292,1394.79
18.0,1389.96
18.2539,1382.47
18.5,1375.21
18.761000000000003,1367.3999999999999
18.8445,1364.9
18.9984,1360.26
19.0,1360.2099999999998
19.1657,1353.75
19.2317,1351.49
19.5,1343.87
19.582,1341.53
19.8583,1333.5900000000001
19.9783,1330.14
20.0,1329.51
20.282200000000003,1320.88
20.5683,1312.13
20.858500000000003,1303.26
21.0,1298.9299999999998
21.296300000000002,1289.6499999999999
21.596700000000002,1280.24
21.9014,1270.69
22.0,1267.6000000000001
22.3104,1257.82
22.625099999999996,1247.8899999999999
22.944300000000002,1237.83
23.0,1236.07
23.3245,1219.69
23.653599999999997,1203.08
23.9873,1186.2299999999998
24.0,1185.59
24.3386,1175.1499999999999
24.682,1164.56
25.0,1154.75
25.352700000000002,1143.57
25.7104,1132.22
26.0,1123.04
