E(MeV),xs(mb)
1.0e-11,502975.99999999994
1.03223e-11,495078.99999999994
1.06549e-11,487310.0
1.0998399999999998e-11,479660.0
1.13527e-11,472133.99999999994
1.1718599999999999e-11,464724.0
1.2096199999999998e-11,457434.00000000006
1.24861e-11,450256.0
1.2888399999999999e-11,443194.0
1.3303799999999998e-11,436240.0
1.37325e-11,429399.0
1.41751e-11,422664.0
1.4631799999999997e-11,416037.00000000006
1.51034e-11,409511.99999999994
1.5590099999999998e-11,403092.99999999994
1.6092599999999998e-11,396772.0
1.66111e-11,390554.0
1.71465e-11,384432.0
1.7699e-11,378408.0
1.8269399999999998e-11,372478.0
1.88581e-11,366643.0
1.94659e-11,360899.0
2.00931e-11,355247.0
2.0740699999999998e-11,349683.0
2.1408999999999998e-11,344208.0
2.2099099999999997e-11,338818.0
2.28111e-11,333515.0
2.3546399999999998e-11,328295.0
2.4305099999999997e-11,323158.0
2.50884e-11,318101.0
2.5896799999999997e-11,313126.0
2.67315e-11,308228.0
2.75928e-11,303408.0
2.8482199999999998e-11,298664.0
2.93999e-11,293996.0
3.0347499999999995e-11,289401.0
3.13253e-11,284879.0
3.2335e-11,280428.0
3.33769e-11,276049.0
3.44526e-11,271738.0
3.55627e-11,267496.0
3.67089e-11,263321.0
3.7891799999999997e-11,259212.0
3.9113e-11,255168.00000000003
4.0373400000000003e-11,251189.00000000003
4.1674599999999996e-11,247271.99999999997
4.3017399999999996e-11,243418.0
4.440389999999999e-11,239624.00000000003
4.58347e-11,235892.0
4.7311899999999994e-11,232218.0
4.883639999999999e-11,228602.99999999997
5.0410399999999995e-11,225044.00000000003
5.20348e-11,221543.0
5.37119e-11,218096.99999999997
5.54426e-11,214706.00000000003
5.7229499999999995e-11,211368.0
5.907359999999999e-11,208083.99999999997
6.09775e-11,204852.0
6.29424e-11,201671.99999999997
6.497099999999999e-11,198541.0
6.70645e-11,195462.0
6.9226e-11,192430.0
7.145659999999999e-11,189448.0
7.37596e-11,186512.0
7.61364e-11,183623.0
7.85902e-11,180781.0
8.11227e-11,177984.0
8.37372e-11,175231.0
8.643549999999999e-11,172522.0
8.922119999999998e-11,169856.0
9.209619999999999e-11,167233.0
9.506439999999999e-11,164652.0
9.81277e-11,162112.0
1.01291e-10,159612.0
1.04554e-10,157153.0
1.07924e-10,154732.0
1.11402e-10,152351.0
1.1499200000000001e-10,150007.0
1.1869700000000001e-10,147702.0
1.22523e-10,145432.0
1.26471e-10,143200.0
1.30547e-10,141002.0
