E(MeV),xs(mb)
1.0e-11,533882.0
1.03223e-11,525505.0
1.06549e-11,517263.0
1.0998399999999998e-11,509149.00000000006
1.13527e-11,501165.00000000006
1.1718599999999999e-11,493305.0
1.2096199999999998e-11,485571.0
1.24861e-11,477956.99999999994
1.2888399999999999e-11,470465.99999999994
1.3303799999999998e-11,463089.99999999994
1.37325e-11,455834.0
1.41751e-11,448689.0
1.4631799999999997e-11,441660.0
1.51034e-11,434740.00000000006
1.5590099999999998e-11,427931.0
1.6092599999999998e-11,421227.0
1.66111e-11,414632.0
1.71465e-11,408138.0
1.7699e-11,401750.0
1.8269399999999998e-11,395460.0
1.88581e-11,389272.0
1.94659e-11,383180.0
2.00931e-11,377185.0
2.0740699999999998e-11,371284.0
2.1408999999999998e-11,365478.0
2.2099099999999997e-11,359763.0
2.28111e-11,354139.0
2.3546399999999998e-11,348603.0
2.4305099999999997e-11,343155.0
2.50884e-11,337793.0
2.5896799999999997e-11,332517.0
2.67315e-11,327323.0
2.75928e-11,322213.0
2.8482199999999998e-11,317182.0
2.93999e-11,312233.0
3.0347499999999995e-11,307361.0
3.13253e-11,302567.0
3.2335e-11,297848.0
3.33769e-11,293205.0
3.44526e-11,288634.0
3.55627e-11,284137.0
3.67089e-11,279710.0
3.7891799999999997e-11,275355.0
3.9113e-11,271068.0
4.0373400000000003e-11,266850.0
4.1674599999999996e-11,262698.0
4.3017399999999996e-11,258612.99999999997
4.440389999999999e-11,254591.0
4.58347e-11,250635.0
4.7311899999999994e-11,246741.0
4.883639999999999e-11,242909.0
5.0410399999999995e-11,239137.99999999997
5.20348e-11,235427.0
5.37119e-11,231775.00000000003
5.54426e-11,228181.0
5.7229499999999995e-11,224644.99999999997
5.907359999999999e-11,221165.0
6.09775e-11,217740.0
6.29424e-11,214370.0
6.497099999999999e-11,211052.99999999997
6.70645e-11,207790.0
6.9226e-11,204578.00000000003
7.145659999999999e-11,201418.0
7.37596e-11,198308.0
7.61364e-11,195248.0
7.85902e-11,192236.0
8.11227e-11,189273.0
8.37372e-11,186357.0
8.643549999999999e-11,183488.0
8.922119999999998e-11,180665.0
9.209619999999999e-11,177887.0
9.506439999999999e-11,175153.0
9.81277e-11,172463.0
1.01291e-10,169815.0
1.04554e-10,167211.0
1.07924e-10,164648.0
1.11402e-10,162126.0
1.1499200000000001e-10,159644.0
1.1869700000000001e-10,157203.0
1.22523e-10,154800.0
1.26471e-10,152437.0
1.30547e-10,150110.0
1.34754e-10,147822.0
1.3909700000000002e-10,145569.0
1.43579e-10,143354.0
1.48207e-10,141173.0
1.52982e-10,139028.0
1.57913e-10,136917.0
1.6300100000000001e-10,134840.0
1.68254e-10,132796.0
1.73676e-10,130785.0
1.79274e-10,128807.0
1.8505000000000002e-10,126860.0
1.91014e-10,124944.00000000001
1.97169e-10,123059.99999999999
2.03524e-10,121205.99999999999
2.1008200000000003e-10,119381.0
2.16853e-10,117585.99999999999
2.2384e-10,115819.99999999999
2.31055e-10,114082.0
2.385e-10,112372.0
2.46187e-10,110689.0
2.5412e-10,109034.00000000001
2.6231e-10,107405.0
2.70762e-10,105802.0
2.7948900000000003e-10,104224.99999999999
2.88494e-10,102674.0
2.9779300000000004e-10,101147.00000000001
3.07388e-10,99645.49999999999
3.1729500000000004e-10,98167.4
3.27519e-10,96713.40000000001
